zone_id,0-14,15-29,30-64,65-100
1,1543,1497,2739 ,421
2,1188,1104,1759,325
3,586,551,1022,180
4,1969,1974,3603,550
5,2169,2729,4715,912
6,585,1007,1630,259
7,736,580,1300,341
8,1023,927,1159,92
9,847,919,1335,172
10,1654,1347,3066,783
11,1165,1017,2305,498
12,1008,1072,1996,500
13,1089,1013,2056,439
14,1361,1133,2774,676
15,574,615,1183,277
16,753,1065,1807,398
17,1951,2318,4043,519
18,2511,2496,5334,1008
19,6651,6604,10142,707
20,1610,1952,3451,366
21,3435,3239,5543,604
22,1335,1695,2709,339
23,842,1167,1841,288
24,504,610,1165,196
25,2274,2277,4191,500
26,961,885,1746,423
27,1197,1434,2022,308
28,1117,1131,2206,546
30,854,772,1542,396
31,3785,3813,5767,347
40,1770,925,2345,146
41,1902,994,2514,154
42,1354,705,1790,110
43,1538,802,2034,124
44,1002,522,1325,82
45,2101,1096,2779,172
46,1318,687,1744,108
47,0,0,0,0
48,882,459,1165,72
49,1053,549,1396,86
50,1222,636,1618,100
51,638,333,844,52
52,1101,576,1460,90
53,536,279,709,44
54,1625,847,2148,132
55,1523,796,2015,124
