meses,ponderador,,meses,ponderador baja demanda,,meses,ponderador media demanda,,,,,,0-9,"1,7392340","1,5913870"
0,"1,069514385",,0,"1,055624731",,0,"1,062632685",,,,,,10-19,"2,4338560","2,1470850"
1,"1,134109671",,1,"1,105191083",,1,"1,11978181",,,,,,20-44,"1,9824370","1,7859500"
2,"1,19470314",,2,"1,149857361",,2,"1,172484071",,,,,,45-64,"1,2375600","1,1900480"
3,"1,251972076",,3,"1,19047881",,3,"1,221504925",,,,,,65-79,"1,0505650","1,0404520"
4,"1,306430817",,4,"1,227704917",,4,"1,267425671",,,,,,80-100,"1,1666350","1,1333080"
5,"1,358479168",,5,"1,262040536",,5,"1,310698158",,,,,,,,
6,"1,408434065",,6,"1,293885882",,6,"1,351680586",,,,,,,,
7,"1,456551009",,7,"1,32356359",,7,"1,390661717",,,,,,,,
8,"1,503038982",,8,"1,351337555",,8,"1,42787774",,,,,,,,
9,"1,548071098",,9,"1,377426378",,9,"1,463524305",,,,,,,,
10,"1,591792368",,10,"1,402013173",,10,"1,497765303",,,,,,,,
11,"1,634325475",,11,"1,425252856",,11,"1,530739385",,,,,,,,
12,"1,675775129",,12,"1,447277654",,12,"1,562564895",,,,,,,,
13,"1,71623142",,13,"1,468201327",,13,"1,593343652",,,,,,,,
14,"1,755772418",,14,"1,488122459",,14,"1,623163888",,,,,,,,
15,"1,794466219",,15,"1,507127039",,15,"1,652102564",,,,,,,,
16,"1,832372576",,16,"1,525290521",,16,"1,680227214",,,,,,,,
17,"1,86954421",,17,"1,542679477",,17,"1,70759742",,,,,,,,
18,"1,906027868",,18,"1,559352939",,18,"1,734266015",,,,,,,,
19,"1,941865196",,19,"1,575363495",,19,"1,760280069",,,,,,,,
20,"1,977093456",,20,"1,590758197",,20,"1,785681692",,,,,,,,
21,"2,011746115",,21,"1,60557931",,21,"1,810508711",,,,,,,,
22,"2,045853352",,22,"1,619864937",,22,"1,834795231",,,,,,,,
23,"2,079442468",,23,"1,633649555",,23,"1,858572107",,,,,,,,
24,"2,112538242",,24,"1,646964454",,24,"1,881867347",,,,,,,,
25,"2,145163235",,25,"1,659838125",,25,"1,904706447",,,,,,,,
26,"2,177338046",,26,"1,672296576",,26,"1,927112688",,,,,,,,
27,"2,209081532",,27,"1,684363621",,27,"1,949107381",,,,,,,,
28,"2,240411",,28,"1,696061113",,28,"1,970710087",,,,,,,,
29,"2,27134237",,29,"1,707409158",,29,"1,991938799",,,,,,,,
30,"2,301890325",,30,"1,718426294",,30,"2,012810111",,,,,,,,
31,"2,33206843",,31,"1,729129652",,31,"2,033339354",,,,,,,,
