Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.0056915,0.0056915,0.00404898424785443
2,0.0071594,0.0071594,0.0104488878220059
3,0.0106864,0.0106864,0
4,0.008247,0.008247,0.00315962135271751
5,0.0066842,0.0066842,0.00290690296455047
6,0.0049206,0.0049206,0.0307260549380781
7,0.0091869,0.0091869,0
8,0.0043187,0.0043187,0
9,0.0050051,0.0050051,0
10,0.0082998,0.0082998,0.011487379909869
11,0.0071488,0.0071488,0.00540730856778072
12,0.0040336,0.0040336,0.00648797622611037
13,0.0097149,0.0097149,0.00568641227672655
14,0.0091235,0.0091235,0.0228763428177054
15,0.0046038,0.0046038,0
16,0.0051846,0.0051846,0
17,0.0089018,0.0089018,0.00619417489541206
18,0.0084582,0.0084582,0.00748609126580963
19,0.0063462,0.0063462,0.00468651589479678
20,0.0040336,0.0040336,0.0115444065867438
21,0.0059661,0.0059661,0.00187097556089844
22,0.0073178,0.0073178,0.00917731545734054
23,0.0053853,0.0053853,0
24,0.0067898,0.0067898,0.0121800838106832
25,0.0041814,0.0041814,0.00275876636192666
26,0.008416,0.008416,0.01305507491196
27,0.0064518,0.0064518,0.0154049645624144
28,0.0089546,0.0089546,0.0225745710800554
30,0.006663,0.006663,0
31,0.0055331,0.0055331,0.00827908138765736
40,0.0041075,0.0041075,0
41,0.0041075,0.0041075,0.00712214386784922
42,0.0041075,0.0041075,0.0150089383981086
43,0.0041075,0.0041075,0.00440416539518373
44,0.0041075,0.0041075,0.0135206762251736
45,0.0041075,0.0041075,0
46,0.0041075,0.0041075,0
47,0.0041075,0.0041075,0
48,0.0041075,0.0041075,0
49,0.0041075,0.0041075,0
50,0.0041075,0.0041075,0
51,0.0041075,0.0041075,0
52,0.0041075,0.0041075,0.00615108776517023
53,0.0041075,0.0041075,0
54,0.0041075,0.0041075,0
55,0.0041075,0.0041075,0.00444712647183578
