meses,ponderador
0,"1,069,514,385"
1,"1,134,109,671"
2,"119,470,314"
3,"1,251,972,076"
4,"1,306,430,817"
5,"1,358,479,168"
6,"1,408,434,065"
7,"1,456,551,009"
8,"1,503,038,982"
9,"1,548,071,098"
10,"1,591,792,368"
11,"1,634,325,475"
12,"1,675,775,129"
13,"171,623,142"
14,"1,755,772,418"
15,"1,794,466,219"
16,"1,832,372,576"
17,"186,954,421"
18,"1,906,027,868"
19,"1,941,865,196"
20,"1,977,093,456"
21,"2,011,746,115"
22,"2,045,853,352"
23,"2,079,442,468"
24,"2,112,538,242"
25,"2,145,163,235"
26,"2,177,338,046"
27,"2,209,081,532"
28,"2,240,411"
29,"227,134,237"
30,"2,301,890,325"
31,"233,206,843"
32,"2,361,889,246"
33,"2,391,364,424"
34,"2,420,504,796"
35,"2,449,320,442"
36,"2,477,820,767"
37,"2,506,014,553"
38,"2,533,910,016"
39,"2,561,514,853"
40,"2,588,836,285"
41,"2,615,881,095"
42,"2,642,655,665"
43,"2,669,166,001"
44,"2,695,417,769"
45,"2,721,416,316"
46,"2,747,166,697"
47,"2,772,673,689"
48,"279,794,182"
49,"2,822,975,379"
50,"2,847,778,436"
51,"2,872,354,856"
52,"2,896,708,311"
53,"2,920,842,296"
54,"2,944,760,136"
55,"2,968,465,001"
56,"2,991,959,911"
57,"3,015,247,751"
58,"3,038,331,272"
59,"3,061,213,106"
60,"3,083,895,769"
61,"3,106,381,666"
62,"3,128,673,103"
63,"3,150,772,287"
64,"3,172,681,334"
65,"3,194,402,275"
66,"3,215,937,058"
67,"3,237,287,553"
68,"3,258,455,559"
69,"3,279,442,802"
70,"3,300,250,945"
71,"3,320,881,587"
72,"3,341,336,268"
73,"3,361,616,469"
74,"3,381,723,621"
75,"34,016,591"
76,"3,421,424,236"
77,"3,441,020,311"
78,"3,460,448,561"
79,"3,479,710,182"
80,"349,880,633"
81,"3,517,738,119"
82,"3,536,506,629"
83,"3,555,112,903"
84,"3,573,557,951"
85,"359,184,275"
86,"3,609,968,247"
87,"3,627,935,358"
88,"3,645,744,971"
89,"3,663,397,947"
90,"3,680,895,121"
91,"3,698,237,301"
92,"3,715,425,273"
93,"37,324,598"
94,"374,934,162"
95,"3,766,071,452"
96,"3,782,649,993"
97,"3,799,077,922"
98,"3,815,355,897"
99,"3,831,484,558"
100,"3,847,464,529"
101,"3,863,296,413"
102,"3,878,980,802"
103,"3,894,518,267"
104,"3,909,909,367"
105,"3,925,154,645"
106,"3,940,254,631"
107,"3,955,209,838"
108,"397,002,077"
109,"3,984,687,916"
110,"3,999,211,751"
111,"4,013,592,742"
112,"4,027,831,341"
113,"404,192,799"
114,"4,055,883,121"
115,"4,069,697,154"
116,"40,833,705"
117,"409,690,356"
118,"4,110,296,724"
119,"4,123,550,376"
120,"4,136,664,888"
121,"4,149,640,625"
122,"4,162,477,942"
123,"4,175,177,189"
124,"4,187,738,704"
125,"4,200,162,821"
126,"4,212,449,864"
127,"4,224,600,152"
128,"4,236,613,995"
129,"4,248,491,698"
130,"4,260,233,557"
131,"4,271,839,865"
132,"4,283,310,906"
133,"4,294,646,958"
134,"4,305,848,295"
135,"4,316,915,184"
136,"4,327,847,887"
137,"433,864,666"
138,"4,349,311,755"
139,"4,359,843,416"
140,"4,370,241,886"
141,"4,380,507,401"
142,"4,390,640,191"
143,"4,400,640,484"
144,"4,410,508,502"
145,"4,420,244,463"
146,"4,429,848,581"
147,"4,439,321,067"
148,"4,448,662,124"
149,"4,457,871,956"
150,"4,466,950,761"
151,"4,475,898,731"
152,"4,484,716,059"
153,"4,493,402,931"
154,"450,195,953"
155,"4,510,386,038"
156,"4,518,682,631"
157,"4,526,849,482"
158,"4,534,886,762"
159,"4,542,794,639"
160,"4,550,573,278"
161,"455,822,284"
162,"4,565,743,483"
163,"4,573,135,365"
164,"4,580,398,638"
165,"4,587,533,452"
166,"4,594,539,957"
167,"4,601,418,298"
168,"4,608,168,616"
169,"4,614,791,055"
170,"4,621,285,751"
171,"462,765,284"
172,"4,633,892,457"
173,"4,640,004,732"
174,"4,645,989,796"
175,"4,651,847,775"
176,"4,657,578,795"
177,"4,663,182,978"
178,"4,668,660,447"
179,"4,674,011,319"
180,"4,679,235,713"
181,"4,684,333,744"
182,"4,689,305,525"
183,"4,694,151,169"
184,"4,698,870,785"
185,"4,703,464,482"
186,"4,707,932,367"
187,"4,712,274,545"
188,"4,716,491,119"
189,"4,720,582,191"
190,"4,724,547,863"
191,"4,728,388,231"
192,"4,732,103,395"
193,"4,735,693,449"
194,"4,739,158,489"
195,"4,742,498,608"
196,"4,745,713,896"
197,"4,748,804,446"
198,"4,751,770,345"
199,"4,754,611,683"
200,"4,757,328,544"
201,"4,759,921,015"
202,"476,238,918"
203,"4,764,733,121"
204,"4,766,952,921"
205,"476,904,866"
206,"4,771,020,417"
207,"4,772,868,271"
208,"4,774,592,299"
209,"4,776,192,578"
210,"4,777,669,181"
211,"4,779,022,185"
212,"4,780,251,661"
213,"4,781,357,682"
214,"4,782,340,319"
215,"4,783,199,643"
216,"4,783,935,722"
217,"4,784,548,624"
218,"4,785,038,419"
219,"4,785,405,171"
220,"4,785,648,946"
221,"478,576,981"
222,"4,785,767,826"
223,"4,785,643,058"
224,"4,785,395,568"
225,"4,785,025,417"
226,"4,784,532,666"
227,"4,783,917,375"
228,"4,783,179,604"
229,"478,231,941"
230,"4,781,336,852"
231,"4,780,231,987"
232,"477,900,487"
233,"4,777,655,558"
234,"4,776,184,105"
235,"4,774,590,566"
236,"4,772,874,993"
237,"4,771,037,441"
238,"4,769,077,961"
239,"4,766,996,605"
