meses,ponderador
0,1.055624731
1,1.105191083
2,1.149857361
3,1.19047881
4,1.227704917
5,1.262040536
6,1.293885882
7,1.32356359
8,1.351337555
9,1.377426378
10,1.402013173
11,1.425252856
12,1.447277654
13,1.468201327
14,1.488122459
15,1.507127039
16,1.525290521
17,1.542679477
18,1.559352939
19,1.575363495
20,1.590758197
21,1.60557931
22,1.619864937
23,1.633649555
24,1.646964454
25,1.659838125
26,1.672296576
27,1.684363621
28,1.696061113
29,1.707409158
30,1.718426294
31,1.729129652
32,1.739535092
33,1.749657329
34,1.759510037
35,1.76910595
36,1.77845694
37,1.787574098
38,1.7964678
39,1.805147763
40,1.813623108
41,1.821902399
42,1.829993692
43,1.837904576
44,1.845642204
45,1.853213329
46,1.86062433
47,1.867881244
48,1.874989786
49,1.881955374
50,1.888783146
51,1.895477982
52,1.902044521
53,1.908487174
54,1.914810141
55,1.921017424
56,1.927112839
57,1.933100026
58,1.938982461
59,1.944763466
60,1.950446218
61,1.956033757
62,1.961528991
63,1.966934708
64,1.972253583
65,1.977488176
66,1.98264095
67,1.987714266
68,1.992710393
69,1.997631515
70,2.002479728
71,2.007257054
72,2.011965434
73,2.016606744
74,2.021182785
75,2.025695299
76,2.030145962
77,2.034536394
78,2.038868158
79,2.043142762
80,2.047361665
81,2.051526276
82,2.055637958
83,2.059698027
84,2.06370776
85,2.067668389
86,2.071581111
87,2.075447083
88,2.079267425
89,2.083043225
90,2.086775537
91,2.090465383
92,2.094113753
93,2.097721612
94,2.101289891
95,2.104819499
96,2.108311317
97,2.111766199
98,2.115184979
99,2.118568464
100,2.121917442
101,2.125232675
102,2.128514909
103,2.131764867
104,2.134983254
105,2.138170756
106,2.14132804
107,2.144455758
108,2.147554543
109,2.150625013
110,2.15366777
111,2.156683401
112,2.159672479
113,2.162635561
114,2.165573192
115,2.168485903
116,2.171374213
117,2.174238628
118,2.177079642
119,2.179897737
120,2.182693385
121,2.185467046
122,2.18821917
123,2.190950196
124,2.193660554
125,2.196350663
126,2.199020934
127,2.201671769
128,2.204303559
129,2.206916689
130,2.209511536
131,2.212088465
132,2.214647837
133,2.217190005
134,2.219715312
135,2.222224097
136,2.22471669
137,2.227193414
138,2.229654587
139,2.232100519
140,2.234531515
141,2.236947872
142,2.239349884
143,2.241737836
144,2.24411201
145,2.246472681
146,2.248820119
147,2.251154588
148,2.253476349
149,2.255785656
150,2.258082759
151,2.260367904
152,2.26264133
153,2.264903276
154,2.267153971
155,2.269393644
156,2.271622519
157,2.273840814
158,2.276048745
159,2.278246524
160,2.280434359
161,2.282612453
162,2.284781007
163,2.286940219
164,2.289090281
165,2.291231385
166,2.293363716
167,2.29548746
168,2.297602796
169,2.299709902
170,2.301808954
171,2.303900121
172,2.305983574
173,2.308059479
174,2.310127998
175,2.312189293
176,2.314243522
177,2.316290839
178,2.318331399
179,2.320365351
180,2.322392844
181,2.324414023
182,2.326429033
183,2.328438014
184,2.330441105
185,2.332438444
186,2.334430165
187,2.3364164
188,2.338397281
189,2.340372937
190,2.342343493
191,2.344309075
192,2.346269807
193,2.348225808
194,2.350177199
195,2.352124096
196,2.354066617
197,2.356004875
198,2.357938982
199,2.35986905
200,2.361795188
201,2.363717503
202,2.365636103
203,2.36755109
204,2.36946257
205,2.371370643
206,2.37327541
207,2.37517697
208,2.37707542
209,2.378970857
210,2.380863375
211,2.382753069
212,2.38464003
213,2.38652435
214,2.388406118
215,2.390285423
216,2.392162353
217,2.394036994
218,2.395909431
219,2.397779749
220,2.399648029
221,2.401514354
222,2.403378805
223,2.405241462
224,2.407102402
225,2.408961705
226,2.410819446
227,2.412675702
228,2.414530547
229,2.416384054
230,2.418236298
231,2.420087349
232,2.421937279
233,2.423786159
234,2.425634057
235,2.427481042
236,2.429327181
237,2.431172542
238,2.43301719
239,2.434861191
