meses,ponderador
0,1.062632685
1,1.11978181
2,1.172484071
3,1.221504925
4,1.267425671
5,1.310698158
6,1.351680586
7,1.390661717
8,1.42787774
9,1.463524305
10,1.497765303
11,1.530739385
12,1.562564895
13,1.593343652
14,1.623163888
15,1.652102564
16,1.680227214
17,1.70759742
18,1.734266015
19,1.760280069
20,1.785681692
21,1.810508711
22,1.834795231
23,1.858572107
24,1.881867347
25,1.904706447
26,1.927112688
27,1.949107381
28,1.970710087
29,1.991938799
30,2.012810111
31,2.033339354
32,2.053540723
33,2.073427388
34,2.093011589
35,2.112304721
36,2.131317411
37,2.150059585
38,2.168540529
39,2.186768941
40,2.204752984
41,2.222500322
42,2.240018168
43,2.257313311
44,2.274392155
45,2.291260742
46,2.307924784
47,2.324389683
48,2.340660553
49,2.356742244
50,2.372639355
51,2.388356253
52,2.403897091
53,2.419265816
54,2.434466187
55,2.449501786
56,2.464376028
57,2.479092172
58,2.493653328
59,2.50806247
60,2.52232244
61,2.53643596
62,2.550405633
63,2.564233954
64,2.577923316
65,2.591476013
66,2.604894246
67,2.618180131
68,2.631335697
69,2.644362899
70,2.657263614
71,2.67003965
72,2.682692747
73,2.69522458
74,2.707636764
75,2.719930857
76,2.73210836
77,2.744170722
78,2.756119341
79,2.767955569
80,2.779680711
81,2.791296027
82,2.802802737
83,2.81420202
84,2.825495018
85,2.836682835
86,2.84776654
87,2.85874717
88,2.869625728
89,2.880403187
90,2.89108049
91,2.901658552
92,2.91213826
93,2.922520476
94,2.932806035
95,2.942995749
96,2.953090407
97,2.963090775
98,2.972997596
99,2.982811596
100,2.992533476
101,3002163923
102,3011703601
103,3021153159
104,3030513227
105,3039784418
106,3048967332
107,305806255
108,306707064
109,3075992154
110,3084827631
111,3093577597
112,3102242563
113,311082303
114,3119319485
115,3127732403
116,3136062248
117,3144309474
118,3152474522
119,3160557825
120,3168559804
121,317648087
122,3184321428
123,3192081869
124,3199762578
125,3207363932
126,3214886297
127,3222330033
128,322969549
129,3236983014
130,3244192939
131,3251325596
132,3258381305
133,3265360383
134,3272263138
135,3279089871
136,3285840878
137,3292516451
138,3299116871
139,3305642417
140,3312093361
141,3318469971
142,3324772508
143,3331001229
144,3337156384
145,334323822
146,334924698
147,3355182899
148,3361046211
149,3366837143
150,3372555919
151,3378202759
152,3383777878
153,3389281488
154,3394713795
155,3400075005
156,3405365316
157,3410584925
158,3415734025
159,3420812806
160,3425821452
161,3430760148
162,3435629072
163,3440428401
164,3445158308
165,3449818963
166,3454410535
167,3458933186
168,346338708
169,3467772374
170,3472089226
171,3476337788
172,3480518213
173,3484630648
174,3488675241
175,3492652134
176,3496561469
177,3500403385
178,350417802
179,3507885508
180,3511525981
181,351509957
182,3518606404
183,352204661
184,352542031
185,3528727629
186,3531968686
187,35351436
188,3538252489
189,3541295468
190,354427265
191,3547184146
192,3550030068
193,3552810523
194,3555525618
195,3558175458
196,3560760148
197,3563279789
198,3565734482
199,3568124327
200,357044942
201,357270986
202,357490574
203,3577037154
204,3579104196
205,3581106955
206,3583045522
207,3584919985
208,3586730432
209,3588476948
210,3590159619
211,3591778529
212,359333376
213,3594825393
214,359625351
215,3597618189
216,3598919509
217,3600157547
218,3601332379
219,360244408
220,3603492725
221,3604478387
222,3605401138
223,360626105
224,3607058193
225,3607792636
226,3608464449
227,3609073699
228,3609620453
229,3610104777
230,3610526736
231,3610886395
232,3611183817
233,3611419066
234,3611592202
235,3611703288
236,3611752385
237,3611739551
238,3611664846
239,3611528328
