Unidad,proporcion,proporcion San Luis,Prop Lo Hermida
1,0.0017940536777074502,0.00778,0.00778
2,0.007945152273484411,0.00601,0.00601
3,0.004844651501454961,0.000831,0.000831
4,0.005457662920130757,0.0000378,0.0000378
5,0.006810924391280017,0.00465,0.00465
6,0.016575716521618187,0.00414,0.00414
7,0.008099762017085755,0.00412,0.00412
8,0.006756347526222815,0.0111,0.0111
9,0.0,0.00606,0.00606
10,0.001761812913200153,0.00438,0.00446
11,0.0,0.00512,0.00512
12,0.0023312631188773586,0.0,0.0
13,0.00253985650789617,0.00159,0.00159
14,0.006117937258492535,0.00297,0.00332
15,0.0,0.00262,0.00306
16,0.0026265696036070485,0.00118,0.00136
17,0.010891700885420668,0.0034,0.00561
18,0.009789918222547798,0.003,0.00335
19,0.005793285460949211,0.00359,0.00351
20,0.0165459247160056,0.00322,0.00331
21,0.0041705921817949505,0.00312,0.0025
22,0.008441941582256585,0.00343,0.0021
23,0.007317985783061219,0.0,0.0
24,0.008551312733662733,0.00233,0.00118
25,0.0011658982524023673,0.00249,0.0
26,0.0,0.00568,0.00462
27,0.0,0.00853,0.00755
28,0.01354084404481403,0.00187,0.00108
30,0.019892896700580334,0.0087,0.0087
31,0.005401259561333188,0.00161,0.00241
40,0.0023124671732175747,0.00707,0.00707
41,0.032324066327918,0.00715,0.00715
42,0.05759568946122703,0.00698,0.00698
43,0.04799674034507572,0.00618,0.00618
44,0.05323146742624157,0.00618,0.00618
45,0.0019514674923806696,0.00503,0.00503
46,0.0,0.00547,0.00547
47,0.0,0.00538,0.00538
48,0.0,0.00547,0.00547
49,0.015557118468787384,0.0053,0.0053
50,0.0033563026700792445,0.0053,0.0053
51,0.019273258133208092,0.00353,0.00353
52,0.003713954938435932,0.00627,0.00521
53,0.038279624239282765,0.00503,0.00503
54,0.002524907047904433,0.00503,0.00415
55,0.021516509378321353,0.00592,0.00592
