Unidad,proporcion San Luis,Prop Lo Hermida,proporcion
1,0.35852,0.35852,0.160828476
2,0.35852,0.35852,0.282466434
3,0.35852,0.35852,0.251000635
4,0.339278,0.339278,0.082203532
5,0.51264,0.51264,0.38034287
6,0.401892,0.401892,0.509707468
7,0.458698,0.458698,0.19360926
8,0.245178,0.245178,0.959244287
9,0.35852,0.35852,0.129077317
10,0.35852,0.366226,0.057286095
11,0.35852,0.35852,0.180058438
12,0.325595,0.325595,0.084763014
13,0.31999,0.31999,0.103998323
14,0.35852,0.389344,0.336812461
15,0.246889,0.285419,0.161750889
16,0.258797,0.274209,0.113746362
17,0.35852,0.55117,0.044338691
18,0.389344,0.420168,0.243305665
19,0.304578,0.296872,0.192676627
20,0,0,0.242935299
21,0.183567,0.129625,0.254441077
22,0.450992,0.335402,0.066362378
23,0.292242,0.2383,0.386110192
24,0.378682,0.278504,0
25,0.478032,0.246852,0.179019923
26,0.404756,0.312284,0.106491681
27,0.39705,0.312284,0.073632212
28,0.389344,0.31999,0.203048357
30,0.458698,0.458698,0.398013111
31,0.269106,0.33846,0.389682385
40,0.130301,0.130301,0
41,0.138007,0.138007,1
42,0.122595,0.122595,1
43,0.053241,0.053241,0.520489895
44,0.053241,0.053241,0.524721521
45,0,0,0.125078967
46,0,0,0.398399673
47,0,0,0
48,0,0,0
49,0,0,0.250157934
50,0,0,0
51,0,0,0.413722737
52,0.060947,0,0.239039804
53,0,0,0.488945053
54,0,0,0.325963369
55,0.030123,0.030123,0
