zone_id,1,2,3,4,5
1,63.5,15.7,3.7,17.1,0.0
2,56.9,29.6,2.1,11.4,0.0
3,34.3,63.0,0.0,2.7,0.0
4,1.7,39.9,34.8,19.1,4.5
5,7.8,25.1,53.3,13.8,0.0
6,9.9,8.4,10.6,45.1,25.9
7,34.9,48.8,16.3,0.0,0.0
8,73.0,2.7,0.0,3.2,21.1
9,7.3,9.2,82.2,1.3,0.0
10,44.2,40.4,11.5,3.9,0.0
11,31.1,29.5,38.3,1.1,0.0
12,0.0,0.0,10.0,82.4,7.7
13,30.9,53.8,15.3,0.0,0.0
14,35.9,48.2,14.3,1.7,0.0
15,13.2,5.4,14.3,46.4,20.7
16,9.8,10.9,29.3,44.8,5.3
17,37.4,46.1,15.5,1.1,0.0
18,29.4,41.9,19.6,9.2,0.0
19,21.9,21.9,41.4,14.8,0.0
20,0.0,0.0,0.0,28.4,71.6
21,7.6,18.3,31.8,14.0,28.3
22,14.0,31.1,39.2,15.7,0.0
23,0.0,12.8,6.5,65.1,15.5
24,18.7,26.1,13.5,33..8,7.9
25,2.2,1.4,12..5,70.3,13.5
26,52.1,41.5,6.4,0.0,0.0
27,60.5,22.9,15.6,1.0,0.0
28,13.0,46.6,38.3,2.0,0.0
30,55.4,24.9,19.7,0.0,0.0
31,9.8,14.2,23.8,40.2,11.9
40,0.3,0.7,12.6,9.6,76.8
41,0.3,0.7,12.6,9.6,76.8
42,0.3,0.7,12.6,9.6,76.8
43,0.3,0.7,12.6,9.6,76.8
44,0.3,0.7,12.6,9.6,76.8
45,0.3,0.7,12.6,9.6,76.8
46,0.3,0.7,12.6,9.6,76.8
47,0.3,0.7,12.6,9.6,76.8
48,0.3,0.7,12.6,9.6,76.8
49,0.3,0.7,12.6,9.6,76.8
50,0.3,0.7,12.6,9.6,76.8
51,0.3,0.7,12.6,9.6,76.8
52,0.3,0.7,12.6,9.6,76.8
53,0.3,0.7,12.6,9.6,76.8
54,0.3,0.7,12.6,9.6,76.8
55,0.3,0.7,12.6,9.6,76.8
