Unidad Vecinal,Private,Actual,San Luis,Lo Hermida
1,21,30,61,50
2,21,30,61,50
3,21,30,61,50
4,21,30,61,44
5,9,10,45,44
6,9,10,45,42
7,6,17,46,42
8,14,33,56,47
9,12,30,46,42
10,11,30,42,29
11,18,30,41,34
12,18,30,50,36
13,23,35,47,36
14,17,30,39,26
15,9,33,50,28
16,18,40,65,38
17,13,30,51,5
18,22,26,36,22
19,22,38,37,41
20,34,55,42,41
21,30,44,37,51
22,20,45,18,33
23,29,50,30,37
24,23,40,23,36
25,27,41,7,37
26,27,36,24,38
27,23,36,25,39
28,24,35,26,40
30,14,17,45,38
31,25,36,35,26
40,8,17,43,42
41,7,16,40,34
42,24,18,46,46
43,13,27,35,33
44,30,27,43,44
45,40,40,80,61
46,35,35,70,51
47,35,36,60,41
48,15,35,40,41
49,30,37,43,50
50,23,37,42,44
51,42,57,70,64
52,15,38,26,46
53,25,40,43,46
54,27,50,40,55
55,25,30,95,52
