Unidad Vecinal,Actual,San Luis,Lo Hermida
1,36,140,95
2,18,120,75
3,30,132,87
4,29,131,83
5,8,111,65
6,27,105,51
7,18,116,69
8,38,128,74
9,26,114,62
10,39,101,36
11,47,108,47
12,50,114,57
13,62,122,39
14,53,113,26
15,72,113,36
16,74,111,33
17,66,92,5
18,47,93,24
19,68,78,27
20,123,66,59
21,89,48,83
22,132,27,53
23,141,30,87
24,128,17,92
25,119,11,83
26,117,15,101
27,104,27,99
28,99,18,96
30,15,105,53
31,57,80,30
40,22,87,51
41,15,101,66
42,33,123,84
43,42,74,47
44,33,89,75
45,51,101,102
46,41,123,92
47,0,0,0
48,63,62,62
49,60,63,69
50,51,66,77
51,77,83,114
52,83,33,93
53,69,54,92
54,81,45,105
55,54,155,105
