segmento,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
men_0-9,3195.19559489,3476.94792971,3318.80889574,3177.60647447,2979.13311683,2802.21634483,2646.20172936,2507.41543593,2385.01883486,2247.37134229,2159.3408317,2081.36730259,2011.61206577,1948.64436175,1881.93929526,1818.6768332,1763.84009675,1715.7705598,1673.2095273,1633.70696877
men_10-19,2120.12909335,2392.02486317,2364.25456657,2341.06379976,2324.42874468,2236.24520372,2159.64603617,2092.55829993,2031.78697781,1954.02509286,1833.01635603,1726.15142424,1631.06155611,1545.90210515,1445.5783228,1350.90376022,1267.81379105,1194.24068565,1129.72914661,1069.52454562
men_20-44,3820.97734192,4198.36045337,4044.65744201,3906.84486741,3700.26677985,3567.38148954,3452.48412399,3352.3632409,3264.51001282,3144.43460466,3042.63098436,2954.57129137,2877.83272221,2810.52791678,2726.39336199,2654.75086363,2595.16191442,2545.32781729,2502.64092687,2463.89222134
men_45-64,7246.49529223,8060.98431476,7860.57043475,7683.73524888,7345.26415809,7047.14742725,6788.22784609,6561.5426949,6361.65498251,6102.06308407,5880.62565473,5688.07705449,5519.35916062,5370.53115474,5194.55119413,4994.43365173,4822.11535179,4672.33782277,4541.12452324,4462.07596166
men_65-79,9178.01263245,11085.0981869,11607.1658942,12073.7558142,12666.9158465,13185.1804784,13648.039295,14063.7890971,14438.8626009,14755.1424652,15055.0841514,15331.2804429,15586.4708436,15822.8547318,16039.8717903,16061.0533392,16106.1770024,16169.5973573,16247.1441878,15915.4334177
men_80-100,2888.11878483,3299.09094301,3261.72506306,3199.79519563,3457.43851795,3623.79544203,3723.11706816,3771.09906753,3779.6538992,4117.89559944,4359.20517362,4524.22621178,4629.77265699,4688.73924515,5022.34681426,5438.08526818,5753.0106531,5988.62077699,6161.32368632,6670.35768409
women_0-9,3288.05945855,3565.24238984,3390.69397994,3234.37484188,3027.29914009,2842.61910261,2679.57132029,2534.35391808,2405.83771557,2249.48743371,2161.37408075,2083.32669389,2013.50501452,1950.47693242,1883.70909739,1820.38648963,1765.49882682,1717.38470282,1674.7842148,1635.24502214
women_10-19,2685.49681882,3023.35438106,2982.10978597,2947.06788599,2911.93660184,2789.31736402,2682.23830026,2587.92412135,2502.50243292,2413.9734949,2259.71559714,2123.07049623,2001.07272882,1891.41310909,1767.50402231,1650.4426039,1547.22133018,1455.33104208,1374.07611832,1289.22225165
women_20-44,11874.4218422,13030.8470064,12537.8815308,12095.1934882,11469.4044853,11120.6054171,10821.9501008,10564.4440257,10341.0544345,9988.00984708,9690.44680363,9434.45524383,9212.68490188,9019.40965614,8755.73180007,8532.5430031,8347.4850587,8193.27495401,8061.91706812,7968.08582947
women_45-64,19428.4414254,21587.0284372,21027.1657874,20532.7697585,19562.6084821,18706.1691183,17959.2842516,17302.5297874,16720.7451412,16036.0194183,15451.3926554,14942.5308718,14496.1558197,14101.9236361,13736.5214092,13334.8731474,12997.2073398,12711.3674205,12468.1699584,12281.8673802
women_65-79,18664.2421008,22988.1252735,24481.4796142,25850.2351205,27414.654437,28820.5435171,30109.1558757,31298.2015761,32401.3308609,33267.9227605,34109.4693749,34907.6260699,35667.0021582,36391.2624944,36617.6701561,36191.1504765,35876.1892695,35650.4493776,35497.1404203,34767.865942
women_80-100,5642.82200755,6280.89582111,6111.48700539,5945.55750464,6128.64968971,6246.77909511,6318.08405255,6351.77873506,6355.04210679,6711.65485698,6985.69833637,7191.31689697,7341.47037149,7446.31465651,7916.18273621,9140.70056338,10146.2793656,10974.2974832,11656.7402219,12830.7227753
