unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,7205.96449465,7278.36003585,7350.42397497,7422.20881263,7491.18765997,7558.20583448,7623.63257751,7687.61193768,7750.2755059,7811.74212518,7870.73590626,7927.48718523,7982.21041771,8035.09742355,8086.29722245,8135.17082704,8180.91988135,8223.85577556,8264.25300617,8301.41056268
2,5083.70513809,5133.29253378,5183.18765828,5233.42808964,5282.1996072,5330.09568947,5377.32218616,5423.98532995,5470.1808374,5515.99466167,5560.51025169,5603.82301188,5646.08639758,5687.43568249,5727.97391071,5767.24511974,5804.73526782,5840.62244088,5875.06304684,5907.47196369
3,2716.54955198,2742.08706535,2767.5251014,2792.88483761,2817.23269988,2840.82780349,2863.86793764,2886.4118908,2908.5132956,2930.22040266,2951.00859277,2971.02660955,2990.36021946,3009.08585162,3027.26296019,3044.61103368,3060.94887023,3076.37708435,3090.98423937,3104.44572087
4,9410.51769302,9505.8057195,9600.52639044,9694.7486911,9785.16275446,9872.87836859,9958.30051577,10041.6186129,10123.0052394,10202.6162922,10278.7765208,10351.7571862,10421.8398876,10489.2764175,10554.2633263,10615.9563878,10673.4638278,10727.1931186,10777.504197,10823.4830187
5,12239.3427743,12369.0948712,12497.4155935,12624.4047818,12745.4643059,12861.8830648,12973.6733504,13081.1284911,13184.5090929,13284.0493757,13377.121329,13464.1119374,13545.4380826,13621.4677072,13692.4945713,13757.0623746,13816.6358245,13871.5827744,13922.2355325,13966.822359
6,4055.12139044,4104.36505263,4152.76953176,4200.36628791,4245.54619149,4288.89587814,4330.01940021,4369.00877879,4405.94400199,4440.89735614,4473.06784631,4502.32692687,4528.80659203,4552.62317514,4573.87200419,4592.13192149,4608.10251393,4621.93781679,4633.778863,4643.16586892
7,3423.88395157,3446.54508602,3469.02530329,3491.35850903,3512.48873375,3532.39455539,3551.75278221,3570.66071119,3589.20773445,3607.47350595,3624.54754994,3641.04357011,3657.09679368,3672.82726691,3688.32924979,3703.0212997,3717.28674995,3731.17254396,3744.71898314,3757.1939165
8,3733.32459525,3783.90433662,3835.34530485,3887.6625465,3939.28802202,3991.18526638,4043.12380082,4095.14582808,4147.28917832,4199.58867419,4251.73084324,4303.26155617,4354.25132095,4404.76231279,4454.83612473,4504.49127216,4552.07258935,4597.80729325,4641.89425152,4684.30027755
9,3812.78362077,3859.71194463,3906.81354573,3954.11100599,4000.0850799,4045.46637701,4090.06239392,4133.93759863,4177.1491897,4219.74910743,4261.20152366,4301.27072623,4340.05442748,4377.63889444,4414.08924408,4449.21493707,4482.35198655,4513.68618985,4543.38216678,4571.19765685
10,7930.61667938,7981.84655988,8032.43264877,8082.45518913,8129.51827105,8173.53684771,8216.02331736,8257.20479498,8297.28965471,8336.46361359,8372.61392983,8407.15179829,8440.39251516,8472.61615313,8504.04418376,8533.31376285,8561.43544647,8588.52651788,8614.68861308,8638.25875586
11,5777.86595469,5820.84042692,5863.13347113,5904.79932005,5944.04408448,5980.98887331,6016.54982311,6050.87779477,6084.11165449,6116.37569229,6146.26930502,6174.63553224,6201.68858753,6227.61991525,6252.58144741,6275.70277898,6297.36263633,6317.70726532,6336.86496124,6353.83299336
12,5311.38167337,5358.87395434,5405.95357405,5452.66895368,5497.12109786,5539.57251445,5580.47799292,5619.98345613,5658.21991719,5695.30440469,5729.88901432,5762.53067315,5793.43194511,5822.77123509,5850.6898304,5876.37110158,5900.81069795,5924.09154904,5946.28843347,5966.32828848
13,5330.7383869,5372.98303914,5414.78915099,5456.2053586,5495.51851503,5532.9475903,5569.11399325,5604.15347838,5638.18976112,5671.33355912,5702.35307635,5731.83507974,5759.97149322,5786.93288428,5812.85418001,5836.99083185,5859.65060556,5880.97244488,5901.07884225,5919.09982591
14,6879.93817603,6922.1667548,6963.4449044,7003.84437128,7041.36888531,7075.86363981,7108.68913278,7140.04469079,7170.11368185,7199.05967621,7225.02452983,7249.31248871,7272.20115291,7293.93804572,7314.72099485,7333.3281668,7350.76094242,7367.13562903,7382.55379845,7395.59843442
15,3072.78531319,3098.1546815,3123.19238159,3147.92760531,3171.32891162,3193.51241049,3214.74366776,3235.10678254,3254.67738425,3273.52304468,3290.88024713,3307.07186151,3322.21466733,3336.41176238,3349.74551382,3361.74470412,3372.93501077,3383.3756482,3393.11983318,3401.5942521
16,4673.3723429,4718.19888862,4762.32462762,4805.7928968,4846.9170208,4886.02976937,4923.09091637,4958.22703444,4991.54950253,5023.15799829,5051.93323703,5078.0857303,5101.79016466,5123.19969395,5142.43860707,5158.83348341,5173.53599894,5186.64593974,5198.25551339,5207.557803
17,10275.2490145,10388.2703909,10500.1210486,10610.8729399,10716.8090347,10819.3958155,10918.4521166,11014.1735784,11106.7361766,11196.2996679,11281.1760087,11361.2382067,11436.7811024,11508.0684899,11575.3099433,11637.7003981,11694.4632547,11746.1062515,11793.0814841,11834.6305703
18,13171.4467716,13285.2449631,13397.1154601,13507.173431,13611.0999766,13709.6290036,13804.1624039,13895.0197805,13982.4938297,14066.84752,14145.138983,14218.7405314,14288.112958,14353.6687965,14415.7371738,14472.5718091,14524.7783251,14572.7848658,14616.9706618,14655.406134
19,28095.1053787,28452.8037304,28811.6995984,29171.926568,29522.58477,29869.9215503,30212.7359919,30551.3760623,30886.1601546,31217.3825357,31542.2589198,31858.4451645,32166.5281479,32467.0379024,32760.3647047,33046.0666058,33314.0576161,33566.1849183,33804.0746664,34027.5669249
20,8595.7430719,8699.4630589,8802.04057624,8903.53021656,9000.68664872,9094.97903886,9186.13470495,9274.30098251,9359.61102645,9442.18649915,9520.74663266,9595.03811492,9665.29036227,9731.71012995,9794.46106382,9853.00710672,9906.26746237,9954.72520039,9998.81032632,10038.075654
21,14927.8404129,15103.17899,15278.6572083,15454.3614594,15624.6669618,15792.2303206,15957.321041,16120.1715657,16280.9962813,16439.9908335,16595.1402096,16746.1351341,16893.3443276,17037.1001662,17177.6521083,17314.2941535,17442.99513,17564.5904371,17679.8143904,17787.9456463
22,7079.53411713,7164.86581485,7249.57716829,7333.71467031,7414.54350472,7493.27490475,7569.48170327,7643.29396875,7714.82697234,7784.18549747,7850.26486674,7912.73856014,7971.80243971,8027.6306116,8080.360507,8129.51468382,8174.59749848,8215.95951725,8253.91404972,8287.97650943
23,4818.23676374,4874.96419059,4931.16135359,4986.86350857,5040.19051446,5091.86509617,5141.56897574,5189.40417415,5235.4601839,5279.81786597,5321.59843522,5360.65425875,5397.13325654,5431.16583574,5462.85620059,5491.77048001,5518.16932211,5542.2451039,5564.17145214,5583.45400356
