segmento,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
men_0-9,3267.52476764,4442.40460659,5334.62957183,5816.90774221,5507.93822947,5222.08132037,4965.26828041,4733.08961257,4525.92986369,4288.57818921,4157.76786364,4041.22393955,3936.50391448,3841.6672821,3731.47228903,3636.38354928,3552.49479917,3477.73524187,3410.55930273,3345.13401138
men_10-19,2384.21273578,3360.68040189,4179.23554328,4713.8361014,4730.54766385,4602.21831266,4489.33140019,4389.44539487,4297.23363337,4167.85248209,3948.86877384,3753.38802684,3577.81681254,3419.30005068,3218.77311479,3036.18541103,2873.52171478,2727.60292212,2598.50163105,2475.11966125
men_20-44,18910.4904133,26049.373405,31678.9442587,34964.7207603,33557.5671281,32731.5512391,32011.2325793,31379.9795337,30824.1998632,29956.1084182,29212.5429167,28567.6494802,28005.3015417,27512.6660497,26801.1383468,26271.4823732,25828.7807167,25457.9319572,25138.9884569,24832.6006491
men_45-64,10951.6325456,15272.0988783,18797.79566,20994.7763981,20336.307473,19730.1617879,19196.6300623,18724.3839786,18304.1851847,17706.3233527,17189.3013591,16736.6752546,16338.0187795,15985.0353525,15519.0998304,15031.7169986,14606.6243334,14233.1469526,13903.2974627,13716.6672416
men_65-79,12050.0022624,17973.8889605,23467.1208825,27608.401734,29005.2332127,30238.366009,31365.3032456,32399.4151312,33351.2596167,34152.3263805,34912.316578,35624.9638921,36294.9172492,36925.9579798,37423.7523457,37710.2869797,38019.2486173,38344.2332256,38681.3132951,38005.6430588
men_80-100,1957.4524581,2803.04623235,3498.04614146,3920.90541204,4292.83769503,4549.94645814,4721.72401824,4826.08362926,4877.05490515,5358.61248962,5714.35640637,5969.9865452,6146.04482133,6258.60818959,6728.99983501,7314.05424424,7765.71542365,8110.56911277,8369.56697481,9079.2628097
women_0-9,4060.48712157,5511.83559405,6608.0139488,7193.12109319,6813.75839572,6462.58948885,6146.49645265,5860.11715014,5603.42282217,5278.3772631,5113.7911412,4966.34171767,4833.04307347,4711.52145309,4570.93257491,4448.61294103,4340.54078175,4244.09853235,4157.3343172,4073.09043669
women_10-19,2737.78685463,3852.21679834,4782.33120086,5385.23774496,5379.34023427,5210.7188074,5061.14012998,4927.60101122,4804.3785021,4673.76221075,4413.68504903,4180.81521943,3970.98356157,3780.87784516,3553.31870399,3346.02970199,3160.48423063,2993.15895964,2843.82571941,2683.00834887
women_20-44,5238.08117802,7222.69891627,8792.12707521,9713.20862257,9352.88893902,9158.03504729,8990.09411143,8844.80651759,8718.68401256,8483.63385125,8282.92293964,8109.37352874,7958.53061623,7826.84876985,7619.62328473,7447.9146309,7301.94798709,7177.23550386,7068.32385406,6985.40096822
women_45-64,22058.5078354,30724.925182,37776.4304948,42147.6842406,40689.1636385,39344.9923365,38154.4263506,37093.5589966,36142.919933,34957.1155951,33930.451582,33030.5039283,32236.7241516,31532.76387,30830.6430219,30122.9793274,29522.0970194,29009.5588933,28571.6841752,28233.3053676
women_65-79,11444.0456722,17665.8255003,23742.8345794,28640.6382281,30772.2209465,32709.6892845,34512.7781539,36199.0485922,37782.3216209,39119.1586575,40401.1130839,41618.2241208,42777.5730218,43884.8270016,44320.8906194,44081.8218116,43932.7815677,43856.8255302,43841.8505352,43070.4076437
women_80-100,7809.41190138,10896.910158,13383.5363441,14876.5619225,15538.1964439,16015.6499082,16361.5752154,16598.470452,16744.4100424,17834.1511101,18698.8823066,19376.8543465,19900.5424565,20295.9261559,21657.3560334,23528.5320311,25071.7628084,26343.9031686,27390.7542757,29476.3598031
