unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,2254.04478264,3165.13424213,3918.88544777,4398.6739359,4366.24391084,4331.08547215,4298.16461685,4267.17239916,4237.83219576,4215.97207465,4195.3091069,4175.38350129,4156.12142527,4137.46588453,4130.98402064,4149.38292475,4164.11916394,4175.79216022,4184.92762751,4209.80924429
2,1513.99025515,2118.84720198,2615.24848115,2926.87283401,2897.50074049,2867.41853298,2839.22244507,2812.68248993,2787.64284747,2770.6578076,2755.9557076,2741.51649134,2727.35957526,2713.50040449,2711.11860501,2712.32602769,2713.17615177,2713.700651,2713.9459317,2726.82742064
3,709.617317761,991.914702265,1222.78283816,1366.75904124,1351.90181345,1336.58352901,1321.91489511,1307.8357441,1294.37915977,1287.76690478,1283.23396971,1278.17369015,1272.70887198,1266.93751549,1269.88624413,1274.19747176,1277.36837513,1279.58893968,1281.01445805,1293.41000836
4,2494.63750231,3508.82938025,4351.02133803,4890.47955966,4862.82688222,4831.24021637,4800.6520164,4770.98381819,4742.41098157,4728.95285654,4720.61560454,4710.78354475,4699.76430675,4687.80332411,4696.40030429,4733.51995681,4764.08954781,4789.21965631,4809.80001728,4854.40237909
5,8487.03576037,11993.3099048,14934.5840395,16850.2195962,16859.4473123,16826.6597482,16789.3153484,16748.6269913,16705.508504,16701.5798714,16689.9642235,16671.9642819,16649.1303819,16622.6646216,16616.6651743,16572.4881692,16536.2664288,16506.4110333,16481.7857479,16456.7594369
6,3157.59380029,4492.73329654,5630.57770262,6391.34899424,6418.61790953,6421.2640341,6422.46041276,6422.49976768,6421.58036366,6419.01417358,6415.44948734,6411.25813104,6406.60142778,6401.59762042,6386.34345248,6375.98501012,6367.68590767,6361.05247487,6355.83211391,6335.71559653
7,2113.77382181,2952.5488837,3636.37417652,4060.05781796,4023.83788687,3986.3766145,3949.49541367,3913.33342044,3878.02170678,3861.20721725,3844.36271128,3826.14782005,3807.028627,3787.36651158,3784.00561097,3734.66377607,3692.74730322,3656.87796508,3625.98538173,3603.57306613
8,1109.34259943,1574.29561956,1969.21750343,2232.29227041,2226.89814743,2222.00646286,2218.77269204,2216.90149301,2216.03117348,2207.04259509,2196.01449446,2187.36303973,2180.68181247,2175.64868167,2163.81803105,2177.0796534,2189.10315904,2200.11748999,2210.3134052,2220.38102407
9,977.220766446,1380.6400344,1719.30703512,1940.33166488,1937.44622264,1932.08255465,1926.91612044,1921.91619664,1917.03533018,1915.11479744,1912.99808937,1910.71154671,1908.28295778,1905.73551598,1907.7820145,1932.43459054,1953.36956493,1971.21847587,1986.49551557,2007.54424476
10,2810.13114084,3912.39594258,4803.83485145,5348.15707437,5285.44249093,5220.12075817,5156.67176811,5095.04082803,5035.25950756,5009.65356626,4984.58639079,4957.27807949,4928.35106582,4898.29851172,4907.70546766,4845.99076873,4792.06378417,4744.47362899,4702.12756172,4687.78304209
11,1848.44949607,2580.57187873,3176.98671143,3546.08558813,3511.64651365,3474.67865998,3438.77832974,3403.88993033,3369.98833665,3355.34065352,3340.12051758,3323.73313042,3306.49218287,3288.64758383,3294.08094134,3275.96325521,3259.42348261,3244.13377436,3229.8760065,3233.36389886
12,1948.01845317,2720.77747271,3351.18223967,3742.41300956,3703.88244365,3661.32587437,3620.44979662,3581.11468486,3543.33467019,3520.24262111,3498.76197317,3476.93579006,3454.94957793,3432.94817818,3430.67371364,3399.84222296,3373.71433253,3351.39146181,3332.20161404,3321.0762391
13,1002.26118661,1389.88587185,1700.35218322,1886.60500268,1855.72054107,1823.90196522,1793.33868416,1763.88826517,1735.56703487,1724.31987392,1715.28412224,1704.9948844,1693.71167773,1681.6453698,1692.54610586,1687.09560927,1681.15512307,1674.78884178,1668.0726351,1684.49234771
14,2830.53030214,3949.33637705,4858.89265875,5419.49671843,5366.37953092,5309.84735874,5254.23357589,5199.65206585,5146.2783867,5124.83874134,5103.69399907,5079.96494781,5054.35175055,5027.40581968,5034.49159284,4976.78263829,4926.24048024,4881.52523892,4841.62298126,4825.81271234
15,1428.97266098,2000.59848253,2469.78906394,2764.23995472,2736.10654626,2705.80636916,2677.32305233,2650.45985432,2625.07057305,2602.55036793,2581.67028376,2561.85112967,2543.01341762,2525.08929666,2510.94331543,2486.03977065,2465.01807113,2447.15210051,2431.88505032,2416.22444774
16,870.233190621,1215.21939038,1496.61451806,1671.21193016,1654.67113561,1635.19523315,1616.20134551,1597.62814434,1579.50032741,1571.80172812,1561.26697998,1550.08849346,1538.38646361,1526.25921839,1530.1651589,1525.96006657,1521.85286696,1517.79577463,1513.78474699,1521.06857923
17,7058.33944577,10077.8310759,12670.1506647,14423.6133201,14543.6232862,14625.8226315,14698.0056704,14761.8145845,14818.5349493,14885.9111764,14948.0338457,15002.2055543,15049.7675861,15091.7723062,15122.5484768,15212.5342912,15288.4307728,15352.7730925,15407.587341,15455.8869268
18,6034.18923576,8489.82592299,10528.6239152,11833.3429911,11792.9659788,11736.9796084,11679.8528554,11622.1163887,11564.3228722,11548.402422,11530.2125787,11507.1501316,11480.3820378,11450.8243569,11460.5327765,11435.2552951,11411.5251664,11388.9586107,11367.3367964,11377.7247384
19,3769.85039848,5275.29569315,6512.14175135,7290.90317117,7188.64387986,7086.98340405,6994.94182781,6910.99138348,6834.30990636,6757.21149309,6700.44437392,6648.11126222,6599.40278492,6553.68547585,6526.04813224,6791.75933777,7014.60981255,7201.99997001,7359.95517166,7590.75942439
20,3004.03449384,4256.03360349,5314.96567057,6015.25657841,5976.1999766,5934.13955342,5898.86123409,5869.17726971,5844.05679256,5784.46787048,5736.85669628,5697.02736252,5663.57653841,5635.38771689,5575.44409253,5504.12016468,5444.22187628,5393.73052905,5351.05350409,5278.31764968
21,2206.82630194,3075.00601837,3781.02473362,4217.69312517,4127.09191268,4041.33783159,3964.67344787,3895.67645644,3833.34013069,3759.32446012,3698.45974435,3644.16444613,3595.35284341,3551.16497738,3506.90182294,3515.87782147,3522.62141868,3527.48935603,3530.82906416,3551.50333032
22,1417.50254321,1991.94582888,2468.18329694,2772.47895199,2750.65083387,2724.91093764,2700.49952412,2677.21049519,2654.9951009,2640.26292692,2625.2483992,2610.12837229,2594.91014394,2579.60262161,2578.56820678,2626.21870122,2665.76033811,2698.58295653,2725.81511699,2774.33876266
23,991.845646038,1392.46361586,1724.01299754,1935.30732015,1913.57250489,1889.39486754,1866.98871948,1846.06315561,1826.49917575,1807.77787603,1788.36021538,1769.98912493,1752.47177812,1735.65667247,1726.2519158,1733.68838708,1739.7839909,1744.74727998,1748.76068552,1760.67921489
24,583.194627016,814.795873817,1004.03651728,1121.8762397,1106.79555977,1090.7482829,1075.6414304,1061.33135214,1047.75801031,1037.96370295,1028.1066847,1018.49103898,1009.08312421,999.858004446,998.175930067,1002.3045951,1005.29741604,1007.33859145,1008.5881487,1018.03857957
25,2079.75321706,2918.92091579,3612.78491571,4054.21929884,4007.62537894,3961.39355414,3919.10164329,3880.09509742,3844.13774132,3807.43603591,3781.55240953,3757.59516365,3735.20000251,3714.08354135,3705.58364233,3752.80114713,3792.49856681,3825.91759111,3854.06309996,3895.65806421
26,963.824697274,1336.82904799,1635.75305553,1815.28243156,1787.78151237,1758.78525187,1730.94614843,1704.13451297,1678.30198251,1668.2202073,1658.45624484,1647.68887295,1636.13605172,1623.97508491,1632.47826169,1616.10039749,1601.11093252,1587.24366681,1574.32536151,1579.96446796
27,1180.98985717,1647.78110041,2028.23414875,2264.25380693,2232.08678707,2199.08660262,2168.62708079,2140.32123458,2113.84253364,2092.13764272,2071.82394402,2052.60371002,2034.30716485,2016.80206098,2009.13362786,2024.385767,2036.67708164,2046.49172436,2054.26393096,2077.91004594
28,1100.86410566,1528.87708716,1872.87160336,2080.48436293,2055.23715832,2027.16252175,1999.32375364,1971.74851364,1944.5876942,1941.12935632,1936.60275909,1929.59060687,1920.56495975,1909.90653099,1929.63399914,1912.54222235,1896.77011633,1882.05545433,1868.22166736,1878.59577991
30,2664.44300256,3724.80047729,4591.32121706,5130.60482486,5085.30125106,5036.4118777,4988.97032181,4943.00668169,4898.4773218,4871.41365018,4842.51325014,4813.23366638,4783.90988839,4754.79655397,4740.84965317,4683.29612904,4634.6432223,4593.23598014,4557.80233988,4528.22583225
31,4830.95246254,6941.51416849,8780.08255285,10053.1849636,10155.5351362,10246.7836023,10332.8875502,10414.3484893,10491.817737,10548.2242886,10616.6261655,10681.8365204,10743.9942133,10803.2191805,10839.6058281,11048.9948144,11228.5086505,11383.4598703,11517.9709176,11648.8569605
40,3794.64146606,5503.48106268,7018.86081472,8095.97598424,8248.67964177,8421.45080872,8583.4767251,8736.10904779,8880.18124915,8994.80665076,9098.00642437,9197.58657233,9293.80666847,9386.87825395,9433.92764344,9439.7687183,9446.82901602,9455.09721851,9464.3982828,9421.76721066
41,4138.91725706,6006.69053434,7665.00690403,8845.76174934,9018.06016399,9212.16335148,9394.05187748,9565.26943335,9726.78090789,9856.46553141,9973.3408697,10085.8966541,10194.4676675,10299.3259953,10353.8212896,10364.1556524,10375.2420815,10387.1743289,10399.8424959,10355.6274928
42,2831.693343,4106.26797565,5236.25595457,6039.15444503,6151.75832238,6279.59015892,6399.55270732,6512.62990471,6619.42260884,6703.9172508,6779.91509779,6853.35180986,6924.39735037,6993.19085945,7027.56776867,7030.33643123,7034.25787204,7039.28127261,7045.24228528,7012.35718585
43,2623.51645851,3788.63095288,4813.68087491,5534.02297391,5612.24991523,5705.6042753,5794.17791951,5878.50613298,5958.83627308,6015.61456466,6066.02137183,6116.09157551,6165.67240735,6214.64617888,6231.81153903,6212.71795952,6197.95360273,6186.88487231,6178.90501176,6135.16575978
44,1712.96044481,2473.142338,3141.64666722,3611.12668345,3661.49973701,3721.7745391,3778.97736174,3833.45181892,3885.35485135,3921.89371508,3954.30598091,3986.53287316,4018.47102085,4050.04060278,4060.87518277,4048.18478943,4038.35588242,4030.96788153,4025.61940621,3996.9920869
45,2438.30525326,3480.56308456,4376.80331395,4985.4283628,4993.43719134,5017.71059379,5043.56663226,5070.61009952,5098.338201,5099.00077442,5097.10716351,5099.61267095,5105.67073138,5114.61187092,5096.15712674,5042.23473023,4997.57089357,4960.61896796,4930.08348573,4871.7678937
46,1804.82821127,2590.57183089,3273.81039444,3745.72378407,3773.9728595,3813.59711956,3852.34313155,3890.22104765,3927.10722261,3945.30442365,3960.53964619,3977.47159556,3995.70510216,4014.92848805,4012.60418771,3980.73864035,3954.64682602,3933.38740611,3916.15267067,3875.17714489
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1205.56842275,1730.46288373,2186.90547801,2502.1962538,2521.12000035,2547.67445291,2573.6373596,2599.01618073,2623.72874659,2635.95423946,2646.18276961,2657.5430308,2669.77128224,2682.65951441,2681.15263685,2659.89927419,2642.50164739,2628.33127422,2616.84867686,2589.50611652
49,1355.25991236,1941.51263201,2449.32025863,2798.02784099,2813.32616671,2837.32845008,2861.21559225,2884.91450665,2908.26613414,2917.22649858,2924.25419339,2932.96853998,2943.01121766,2954.09928865,2949.35123603,2923.2103853,2901.69468879,2884.04274037,2869.6076269,2838.18767825
50,1571.54168099,2251.2710287,2840.00383503,3244.23658082,3261.87216802,3289.64043502,3317.28161336,3344.71026294,3371.74130961,3382.08032097,3390.16754207,3400.21733343,3411.8134777,3424.62730066,3419.07816972,3388.76167011,3363.81213876,3343.34599849,3326.61244336,3290.19538446
51,334.066020667,464.461626017,570.025158107,634.853089759,617.33206252,600.9391908,586.619179314,574.051183031,562.944101102,547.331647851,532.041342492,518.746005497,507.130615253,496.944961829,483.742899875,470.423110513,458.939712354,448.982768735,440.319944038,432.096606196
52,1372.1019066,1963.47059042,2474.57176784,2824.35810793,2836.44414454,2857.40114276,2878.55649623,2899.78971552,2920.90166202,2927.23859468,2931.80012752,2938.30736403,2946.36218427,2955.65004851,2949.09662048,2921.44318654,2898.63416907,2879.8680524,2864.46722221,2832.35712146
53,622.063093159,887.939851274,1116.55383951,1271.78744679,1273.80161542,1279.9763967,1286.55625843,1293.44024289,1300.49997091,1300.65498357,1300.15503797,1300.77870171,1302.30987287,1304.57765181,1299.85663014,1286.08272983,1274.67222224,1265.23028879,1257.42623661,1242.53592052
54,1213.43358136,1697.73273175,2095.86679936,2347.02559564,2297.83045623,2258.0411872,2223.84759613,2194.35197748,2168.72745158,2127.12710956,2086.6090789,2051.87854445,2021.98980875,1996.19273297,1960.39150063,1917.74535107,1881.56787275,1850.74475552,1824.38231366,1793.28544244
55,2408.27562312,3470.74639967,4401.89581122,5052.57472236,5112.9343704,5187.57398657,5258.90782887,5327.26673722,5392.74626242,5435.44473503,5472.96838105,5511.0523932,5549.42595333,5587.87710923,5597.19944935,5570.66638795,5549.46826945,5532.77783298,5519.84795754,5474.27749025
