unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,1332.85557579,1873.97664496,2322.85215476,2727.86724482,3141.57057798,3531.69870422,3901.66146828,4251.48306429,4580.63092886,4949.303921,5290.09276419,5605.29958511,5893.70738715,6154.29004065,6457.20627223,6753.38227698,7010.06664553,7226.67435003,7402.92598206,7573.31900476
2,1875.16155781,2635.5164926,3265.67157075,3833.83357319,4417.96544941,4971.74115384,5497.42938025,5994.99909294,6463.94265327,6990.21820522,7486.07009737,7945.47933721,8366.65623223,8748.10355968,9182.08049272,9554.08677425,9876.17869683,10147.4317747,10367.129567,10574.6907929
3,512.462309849,728.063764081,911.377320168,1080.26027718,1258.3220703,1432.10982789,1600.40344709,1762.73928516,1918.50754684,2091.22744858,2255.47225127,2410.28392658,2554.78207747,2688.18164834,2835.63267226,2976.88155417,3101.66795395,3209.4694163,3299.79349697,3377.2171807
4,2260.11379525,3211.0615949,4017.28317869,4757.0327615,5546.90107698,6308.00216439,7039.52912331,7739.65850484,8406.01379098,9166.77804889,9881.09364605,10546.4197544,11159.8335633,11718.9152972,12346.3174275,12877.9750241,13335.6768779,13718.9117081,14027.5587415,14334.1018195
5,4332.23094124,6116.45016087,7610.19551046,8967.74216845,10410.8187094,11795.0792242,13121.0361135,14386.0315396,15586.1279723,16963.5011392,18258.2905696,19465.1076412,20578.0537607,21592.1528627,22769.9756329,23795.4413788,24690.562963,25452.2399183,26078.1117459,26663.8323813
6,3886.68335781,5569.1323295,7025.89942683,8387.91547467,9810.7101367,11193.7762365,12539.2965985,13843.0593814,15100.2129643,16431.8305481,17662.9569626,18820.5933451,19898.3980731,20890.6067331,21882.9954278,22789.0720215,23583.3339001,24262.5461586,24823.8170074,25182.809278
7,2013.87043472,2822.54141518,3488.27322992,4085.11184835,4678.11101862,5242.7587925,5776.3386583,6279.52041992,6752.17253911,7252.85156214,7717.27851625,8145.68782312,8536.93099429,8890.01064893,9260.2724712,9539.49182253,9779.5074734,9979.15559159,10137.1113443,10221.2516515
8,1575.27686912,2341.65283857,3050.16481574,3745.10685632,4536.99697922,5341.01217873,6149.0954745,6954.82431784,7751.59544953,8638.33081597,9496.98683368,10326.1714095,11119.2563054,11870.1575909,12665.3411761,13562.3519025,14372.8826094,15093.0140611,15719.4737536,16210.8657913
9,812.14313859,1159.21110798,1457.35941323,1734.38408978,2013.26841365,2283.79711697,2545.55378561,2798.04410548,3040.45890055,3294.22237259,3536.20895953,3764.82281116,3978.79867599,4176.95348163,4391.45872039,4619.60948126,4825.70222406,5008.49253581,5166.69879957,5262.05697338
10,2299.02266413,3217.61644877,3966.42774477,4629.11414817,5350.69583703,6020.71453253,6645.65853532,7225.19168705,7759.14951487,8436.78001079,9067.74404561,9639.30545419,10150.3091205,10600.2780166,11194.3291638,11432.9970679,11624.9306146,11769.7508148,11867.3333601,11999.8776327
