segmento,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
men_0-9,3010.79818293,3647.91859556,3995.6426568,4222.33542924,4345.82073227,4423.81862601,4472.25836902,4464.0597082,4266.81757082,4041.47003394,3916.79053531,3805.73874808,3705.97545206,3615.64411228,3511.47106639,3422.04283611,3343.07502248,3272.63756118,3209.29205005,3148.38870172
men_10-19,2282.99942591,2866.89689571,3250.90234856,3552.4925602,3874.25222177,4046.82682567,4197.19893636,4297.23040682,4205.12532092,4076.91907736,3862.46488821,3671.17372997,3499.48995554,3344.59104626,3149.14425212,2971.66069166,2813.50933022,2671.61425033,2546.0695199,2426.6775446
men_20-44,18561.2375947,22789.4138383,25283.0122631,27047.8461033,28221.4143977,29554.5318503,30731.8401642,31545.5463794,30973.2135457,30089.1942563,29331.8484595,28674.8538725,28101.7463323,27599.4377412,26882.3014328,26347.4146395,25899.3586904,25523.080926,25198.675755,24893.235036
men_45-64,10507.9829687,13058.8067239,14661.1162249,15868.9995791,16708.3123437,17404.5207156,18004.7419608,18389.5264426,17969.0201463,17375.2939644,16861.8830792,16412.433671,16016.5502635,15665.9691842,15207.3359363,14731.8731736,14316.9990624,13952.3564558,13630.2040596,13451.7391174
men_65-79,11919.2339189,15835.885565,18850.7542539,21484.7910928,24524.7314502,27441.3131617,30255.2056628,32717.6773364,33657.1946654,34443.8628355,35190.4809193,35890.671781,36548.9285349,37168.9094334,37659.3038684,37948.2434877,38258.8829172,38584.9139166,38922.5181074,38250.6652979
men_80-100,2008.94808323,2563.72844527,2918.2509813,3170.01746306,3772.61032326,4293.1365485,4736.95762019,5069.84689951,5121.1634079,5624.61908392,5995.86942041,6262.0155387,6444.69408698,6560.82456636,7053.0039125,7638.04103191,8088.52791317,8431.27303804,8687.42781733,9411.76730221
women_0-9,3741.45817302,4526.09101148,4949.40877432,5221.29134319,5376.12646823,5474.69907094,5536.20039202,5527.0267408,5282.62338888,4974.23682058,4817.40428959,4676.94920992,4550.01173076,4434.32071308,4301.4382099,4186.39668758,4084.66564819,3993.80496339,3911.99764886,3833.53009726
women_10-19,2522.68131792,3163.28082138,3581.97064816,3908.99789598,4244.35557228,4414.19302015,4558.61093999,4647.51503412,4529.32485191,4404.45972702,4157.87518516,3937.19593796,3738.43591151,3558.4312009,3343.82111195,3148.80342404,2974.17349994,2816.63892064,2676.00310181,2525.20620802
women_20-44,4948.26747973,6080.56468538,6751.38537731,7228.34785693,7565.60306733,7953.92108837,8302.01788524,8553.00139044,8427.55378933,8197.31441746,8000.67276229,7830.60107507,7682.72480705,7553.5661886,7352.76441414,7187.34374357,7046.5886828,6926.2076901,6820.97146106,6742.5099926
women_45-64,21466.4919508,26646.4925564,29883.088549,32311.4511581,33906.5575675,35201.8377834,36295.3747398,36949.278459,35986.6716121,34792.3538077,33758.406484,32852.123327,32052.7239752,31343.6923563,30641.7557331,29942.4441857,29348.3726265,28841.4082086,28408.115698,28080.6228044
women_65-79,11742.4706095,16122.5530331,19734.2934298,23041.5276485,26873.5582487,30636.9087101,34339.7993863,37687.7804074,39295.0612999,40642.4727832,41935.5161873,43163.7371801,44334.1207666,45452.2578051,45878.0589305,45631.3139545,45476.7118219,45396.9075876,45379.5510011,44590.4123975
women_80-100,7413.01861967,9218.16339246,10326.8355088,11124.4137665,12629.8257302,13976.9448993,15181.8006178,16127.5107954,16262.2304008,17313.8031926,18146.7877897,18798.5059286,19300.5981835,19678.3556524,20995.6011318,22820.4221442,24325.1347847,25565.1564818,26585.17378,28621.2455004
