age,men,women,total
0,0,1,1
1,0,1,1
2,0,1,1
3,0,0,0
4,0,0,0
5,0,0,0
6,1,0,1
7,0,0,0
8,1,0,1
9,1,1,2
10,0,0,0
11,0,0,0
12,0,1,1
13,0,0,0
14,0,1,1
15,0,0,0
16,0,0,0
17,1,0,1
18,1,0,1
19,0,0,0
20,0,1,1
21,0,1,1
22,0,0,0
23,0,1,1
24,1,1,2
25,0,1,1
26,0,2,2
27,0,1,1
28,0,1,1
29,0,0,0
30,0,4,4
31,0,1,1
32,0,1,1
33,0,0,0
34,0,1,1
35,0,0,0
36,0,1,1
37,1,1,2
38,1,1,2
39,0,3,3
40,0,0,0
41,0,1,1
42,0,0,0
43,0,0,0
44,0,1,1
45,0,0,0
46,0,0,0
47,0,1,1
48,0,1,1
49,0,1,1
50,0,1,1
51,1,2,3
52,2,4,6
53,1,0,1
54,1,3,4
55,2,4,6
56,4,3,7
57,2,2,4
58,0,0,0
59,2,1,3
60,1,1,2
61,1,2,3
62,3,5,8
63,2,6,8
64,1,3,4
65,2,5,7
66,1,2,3
67,3,2,5
68,5,8,13
69,0,1,1
70,0,2,2
71,1,3,4
72,1,2,3
73,2,2,4
74,1,2,3
75,1,2,3
76,0,2,2
77,0,1,1
78,1,0,1
79,1,2,3
80,0,3,3
81,0,0,0
82,0,1,1
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
