age,men,women,total
0,1807.543503,1807.543503,3615.08700601
1,1779.46318705,1781.04148854,3560.50467559
2,1765.01369343,1766.64986467,3531.6635581
3,2171.26417468,2354.38526197,4525.64943665
4,2149.80864363,2222.66753468,4372.47617831
5,2166.10295201,2237.61901612,4403.72196813
6,2166.42797146,2237.95475298,4404.38272444
7,2166.75303967,2238.29054022,4405.04357989
8,2167.07815667,2238.62637783,4405.7045345
9,2039.49484267,2151.23461317,4190.72945584
10,2039.49484267,2151.23461317,4190.72945584
11,2039.43364742,2151.21309803,4190.64674545
12,2039.37245401,2151.1915831,4190.56403711
13,2039.31126243,2151.17006839,4190.48133082
14,1993.49014586,2149.8771895,4143.36733535
15,1993.49014586,2149.8771895,4143.36733535
16,1992.6726514,2149.59766633,4142.27031773
17,1991.85549218,2149.3181795,4141.17367168
18,1553.00574415,1604.88689407,3157.89263822
19,1797.23931469,1832.42676598,3629.66608067
20,1797.23931469,1832.42676598,3629.66608067
21,1796.73578052,1832.37177833,3629.10755886
22,1796.23238744,1832.31679233,3628.54917977
23,1795.72913538,1832.26180799,3627.99094337
24,1920.26210228,2016.28146232,3936.5435646
25,1920.26210228,2016.28146232,3936.5435646
26,1920.01224584,2016.22095572,3936.23320156
27,1919.7624219,2016.16045094,3935.92287284
28,1919.51263047,2016.09994798,3935.61257845
29,1882.77498425,2030.27031351,3913.04529776
30,1882.77498425,2030.27031351,3913.04529776
31,1882.28496293,2029.88443481,3912.16939774
32,1881.79506915,2029.49862945,3911.2936986
33,1930.04858813,2058.91407127,3988.9626594
34,1718.26842617,1797.84066209,3516.10908826
35,1718.26842617,1797.84066209,3516.10908826
36,1717.66626145,1797.53487016,3515.20113162
37,1717.06430776,1797.22913025,3514.29343801
38,1716.46256502,1796.92344234,3513.38600736
39,1555.29079502,1566.87374236,3122.16453738
40,1555.29079502,1566.87374236,3122.16453738
41,1554.41841019,1566.16816233,3120.58657252
42,1553.54651469,1565.46290002,3119.00941471
43,1552.67510825,1564.7579553,3117.43306356
44,1494.05397462,1588.04187601,3082.09585063
45,1494.05397462,1588.04187601,3082.09585063
46,1492.52669482,1587.2628474,3079.78954222
47,1491.00097627,1586.48420094,3077.48517721
48,1489.47681737,1585.70593646,3075.18275383
49,1772.7434587,1696.0166666,3468.7601253
50,1772.7434587,1696.0166666,3468.7601253
51,1769.82679695,1694.41980805,3464.246605
52,1766.91493392,1692.82445301,3459.73938693
53,1764.00786173,1691.23060004,3455.23846177
54,1498.46031442,1634.30283364,3132.76314807
55,1498.46031442,1634.30283364,3132.76314807
56,1494.56038756,1631.46820475,3126.02859231
57,1490.67061074,1628.63849239,3119.30910313
58,1486.79095754,1625.81368805,3112.60464559
59,1234.8558289,1407.92105187,2642.77688077
60,1234.8558289,1407.92105187,2642.77688077
61,1230.33970226,1404.23050859,2634.57021085
62,1225.84009204,1400.54963923,2626.38973126
63,1221.35693784,1396.87841842,2618.23535625
64,880.762463722,1050.06920551,1930.83166923
65,880.762463722,1050.06920551,1930.83166923
66,873.156554871,1045.34273625,1918.49929113
67,865.616327576,1040.63754133,1906.2538689
68,787.275267309,722.253044848,1509.52831216
69,540.758839885,502.659510673,1043.41835056
70,540.758839885,502.659510673,1043.41835056
71,534.597744564,498.937688722,1033.53543329
72,528.506845221,495.243424109,1023.75026933
73,522.485342083,491.576512794,1014.06185488
74,313.418802843,325.914331321,639.333134163
75,313.418802843,325.914331321,639.333134163
76,306.957826304,321.898939223,628.856765527
77,300.630039661,317.933018327,618.563057988
78,294.43269727,314.015959128,608.448656399
79,163.779047961,199.846257736,363.625305697
80,163.779047961,199.846257736,363.625305697
81,149.808724846,184.973412253,334.782137099
82,137.030067762,171.207425289,308.237493051
83,125.341427811,158.465922842,283.807350654
84,21.0681305531,41.7821231017,62.8502536548
85,21.0681305531,41.7821231017,62.8502536548
86,21.0681305531,41.7821231017,62.8502536548
87,21.0681305531,41.7821231017,62.8502536548
88,21.0681305531,41.7821231017,62.8502536548
89,21.0681305531,41.7821231017,62.8502536548
90,21.0681305531,41.7821231017,62.8502536548
91,21.0681305531,41.7821231017,62.8502536548
92,21.0681305531,41.7821231017,62.8502536548
93,21.0681305531,41.7821231017,62.8502536548
94,21.0681305531,41.7821231017,62.8502536548
95,21.0681305531,41.7821231017,62.8502536548
96,21.0681305531,41.7821231017,62.8502536548
97,21.0681305531,41.7821231017,62.8502536548
98,21.0681305531,41.7821231017,62.8502536548
99,21.0681305531,41.7821231017,62.8502536548
