age,men,women,total
0,30.2981193642,30.2981193642,60.5962387284
1,30.1024422433,30.1291417164,60.2315839597
2,25.0335382856,25.9492557602,50.9827940458
3,24.7861672543,24.4975065293,49.2836737836
4,24.9740320924,24.6622968132,49.6363289056
5,24.9740320924,24.6622968132,49.6363289056
6,24.9777793963,24.6659971939,49.6437765902
7,24.9815272626,24.6696981297,49.6512253923
8,23.5107791831,23.7066394994,47.2174186825
9,23.5107791831,23.7066394994,47.2174186825
10,23.5107791831,23.7066394994,47.2174186825
11,23.5100737398,23.7064024022,47.216476142
12,23.5093683177,23.7061653074,47.215533625
13,22.9811382598,23.691917619,46.6730558788
14,22.9811382598,23.691917619,46.6730558788
15,22.9811382598,23.691917619,46.6730558788
16,22.9717141083,23.6888372385,46.6605513467
17,28.487770125,28.4020838885,56.8898540135
18,32.9679015351,32.4289137878,65.3968153229
19,32.9679015351,32.4289137878,65.3968153229
20,32.9679015351,32.4289137878,65.3968153229
21,32.9586648883,32.4279406576,65.386605546
22,32.9494308294,32.4269675567,65.3763983861
23,35.2344582858,35.6837070329,70.9181653187
24,35.2344582858,35.6837070329,70.9181653187
25,35.2344582858,35.6837070329,70.9181653187
26,35.229873726,35.6826362004,70.9125099264
27,35.2252897627,35.6815654001,70.9068551628
28,34.5511112172,35.9323569469,70.4834681641
29,34.5511112172,35.9323569469,70.4834681641
30,34.5511112172,35.9323569469,70.4834681641
31,34.542118756,35.9255275454,70.4676463014
32,31.81874234,32.5653530476,64.3840953877
33,28.3273388347,28.436017171,56.7633560058
34,28.3273388347,28.436017171,56.7633560058
35,28.3273388347,28.436017171,56.7633560058
36,28.3174115592,28.4311805331,56.7485920923
37,28.3074877627,28.4263447178,56.7338324805
38,25.6494816984,24.7870844578,50.4365661563
39,25.6494816984,24.7870844578,50.4365661563
40,25.6494816984,24.7870844578,50.4365661563
41,25.6350945376,24.7759225681,50.4110171057
42,25.6207154467,24.7647657047,50.3854811515
43,24.653407234,25.1332705198,49.7866777537
44,24.653407234,25.1332705198,49.7866777537
45,24.653407234,25.1332705198,49.7866777537
46,24.6282055669,25.1209411617,49.7491467287
47,24.603029662,25.108617852,49.711647514
48,29.2819998198,26.8553162179,56.1373160377
49,29.2819998198,26.8553162179,56.1373160377
50,29.2819998198,26.8553162179,56.1373160377
51,29.2338226915,26.8300310057,56.0638536972
52,29.1857248282,26.8047696005,55.9904944287
53,24.7922083294,25.9025060877,50.6947144171
54,24.7922083294,25.9025060877,50.6947144171
55,24.7922083294,25.9025060877,50.6947144171
56,24.7276835647,25.8575792903,50.585262855
57,24.6633267337,25.8127304165,50.4760571502
58,20.4841525452,22.3532910486,42.8374435937
59,20.4841525452,22.3532910486,42.8374435937
60,20.4841525452,22.3532910486,42.8374435937
61,20.409237705,22.2946970045,42.7039347095
62,20.3345968441,22.2362565514,42.5708533955
63,14.663976648,16.7155623156,31.3795389635
64,14.663976648,16.7155623156,31.3795389635
65,14.663976648,16.7155623156,31.3795389635
66,14.5373444692,16.6403238543,31.1776683234
67,21.7174009001,19.1124905171,40.8298914172
68,14.9171160377,13.3015363516,28.2186523893
69,14.9171160377,13.3015363516,28.2186523893
70,14.9171160377,13.3015363516,28.2186523893
71,14.7471589939,13.2030483116,27.9502073055
72,14.579138343,13.1052895027,27.6844278457
73,8.74546272956,8.68878303557,17.4342457651
74,8.74546272956,8.68878303557,17.4342457651
75,8.74546272956,8.68878303557,17.4342457651
76,8.565179259,8.5817338285,17.1469130875
77,8.3886122447,8.47600350955,16.8646157543
78,4.66619006615,5.39430411958,10.0604941857
79,4.66619006615,5.39430411958,10.0604941857
80,4.66619006615,5.39430411958,10.0604941857
81,4.26816489901,4.9928522607,9.26101715971
82,3.9040912065,4.62127702565,8.52536823215
83,0.656222804111,1.2184750015,1.87469780561
84,0.656222804111,1.2184750015,1.87469780561
85,0.656222804111,1.2184750015,1.87469780561
86,0.656222804111,1.2184750015,1.87469780561
87,0.656222804111,1.2184750015,1.87469780561
88,0.656222804111,1.2184750015,1.87469780561
89,0.656222804111,1.2184750015,1.87469780561
90,0.656222804111,1.2184750015,1.87469780561
91,0.656222804111,1.2184750015,1.87469780561
92,0.656222804111,1.2184750015,1.87469780561
93,0.656222804111,1.2184750015,1.87469780561
94,0.656222804111,1.2184750015,1.87469780561
95,0.656222804111,1.2184750015,1.87469780561
96,0.656222804111,1.2184750015,1.87469780561
97,0.656222804111,1.2184750015,1.87469780561
98,0.656222804111,1.2184750015,1.87469780561
99,0.656222804111,1.2184750015,1.87469780561
