year,benefit,cost
2017,35792670.5369,3819970.27479
2018,71181797.7638,7633287.73369
2019,74046582.5772,7965136.86153
2020,74078056.4453,7997251.75223
2021,74111284.0593,8027207.3226
2022,74047219.917,8052170.40722
2023,73986337.6119,8075148.72597
2024,73926714.6406,8096204.34051
2025,73849904.2646,8121464.29271
2026,73779671.1679,8145083.14769
2027,73651896.3369,8160708.73856
2028,73534314.5289,8175355.34817
2029,73426102.1669,8189132.49369
2030,73324892.3252,8206523.576
2031,73224139.0603,8221901.00488
2032,73124115.5084,8235966.31408
2033,73033589.5019,8249255.9834
2034,72951057.4262,8261911.6042
2035,72917032.3446,8273782.70237
2036,72888933.8367,8284718.24421
