year,benefit,cost
2017,43193886.3376,4320562.13277
2018,59453045.897,4891571.26446
2019,62239947.8339,4109409.68879
2020,69958804.5579,4177240.47994
2021,78284316.983,4386000.58218
2022,86952906.5206,4690257.3389
2023,95390755.0068,4964504.67204
2024,103714291.11,5241744.34172
2025,112054356.793,5557646.58202
2026,120175663.688,5835599.91483
2027,128166392.17,6106492.19675
2028,135981852.572,6366851.86467
2029,143603281.416,6617359.28019
2030,151380397.973,6916537.14614
2031,158715999.394,7152166.30303
2032,166102113.915,7424924.50808
2033,173004364.828,7638731.65082
2034,179613671.449,7837547.72923
2035,185368860.17,7950682.01116
2036,191095978.044,8104765.89201
