year,zone_id,total
2017,54,32.6488501961
2017,42,282.298342613
2017,49,51.0672591898
2017,24,25.2831503918
2017,25,270.694075836
2017,26,42.5594364495
2017,27,65.7736639624
2017,20,344.293855846
2017,21,455.181250067
2017,22,108.978798688
2017,23,59.5757761706
2017,46,29.8448341679
2017,47,0.0
2017,44,115.460267262
2017,45,104.821594526
2017,28,230.44592846
2017,43,296.536775851
2017,40,70.2266839391
2017,41,437.934086466
2017,1,103.220655681
2017,3,25.7970650817
2017,2,91.3443611441
2017,5,687.276004257
2017,4,254.30895713
2017,7,103.133029698
2017,6,183.355276848
2017,9,38.417185769
2017,8,72.0458182044
2017,11,88.7441182999
2017,10,245.695052595
2017,13,88.0687160902
2017,12,64.8352527261
2017,15,34.028473676
2017,14,281.850224927
2017,17,357.078754745
2017,16,70.6322296342
2017,19,1328.10437148
2017,18,804.396949053
2017,31,601.965369749
2017,30,139.914520354
2017,51,16.7576051978
2017,50,27.1744850132
2017,53,22.1911073713
2017,52,46.4291735726
2017,55,69.3928891627
2017,48,23.1604743747
2018,54,53.4764487152
2018,42,569.282860547
2018,49,92.8192835778
2018,24,45.6905457222
2018,25,541.008728407
2018,26,73.9760676165
2018,27,114.664479122
2018,20,690.880066351
2018,21,886.220592637
2018,22,203.842445244
2018,23,108.394658297
2018,46,34.2669307792
2018,47,0.0
2018,44,232.831604203
2018,45,197.087625325
2018,28,458.25153049
2018,43,598.01611317
2018,40,126.451751924
2018,41,883.167641127
2018,1,196.951196178
2018,3,42.7324740145
2018,2,181.144723731
2018,5,1375.70811348
2018,4,506.11766885
2018,7,199.274763655
2018,6,368.777868405
2018,9,58.3221128447
2018,8,137.583835357
2018,11,162.61119284
2018,10,491.507877625
2018,13,170.544903125
2018,12,117.388069638
2018,15,54.3350461144
2018,14,555.010783536
2018,17,711.797612321
2018,16,135.909369579
2018,19,2671.1020056
2018,18,1608.31505557
2018,31,1196.32639039
2018,30,277.913675326
2018,51,29.0962351753
2018,50,40.2810979491
2018,53,39.3221890547
2018,52,83.5485301342
2018,55,133.523110005
2018,48,23.4118940811
2019,54,67.6758742502
2019,42,764.414632811
2019,49,121.878901132
2019,24,59.6056000319
2019,25,725.877205763
2019,26,95.2052489576
2019,27,148.003055202
2019,20,927.874779697
2019,21,1180.3026902
2019,22,268.807347126
2019,23,142.063872763
2019,46,37.4011894616
2019,47,0.0
2019,44,312.631620492
2019,45,260.485700325
2019,28,610.293638796
2019,43,803.022280472
2019,40,165.022857387
2019,41,1185.92731941
2019,1,260.603117125
2019,3,54.2136186434
2019,2,242.575075954
2019,5,1840.05744399
2019,4,676.697933166
2019,7,263.110113092
2019,6,495.939010149
2019,9,72.2254731504
2019,8,182.470203057
2019,11,212.35333658
2019,10,654.910921999
2019,13,225.681349267
2019,12,153.104650136
2019,15,68.4049147477
2019,14,735.444440604
2019,17,951.204021998
2019,16,179.815888823
2019,19,3595.91553754
2019,18,2148.16378767
2019,31,1607.64440698
2019,30,370.307073576
2019,51,37.5505624726
2019,50,49.3124689127
2019,53,51.1326353675
2019,52,109.282315741
2019,55,177.434717444
2019,48,23.6646831668
2020,54,80.2226234992
2020,42,936.989888617
2020,49,148.121119484
2020,24,71.8754633602
2020,25,889.623426142
2020,26,113.881451251
2020,27,177.51262818
2020,20,1137.53344616
2020,21,1440.45683121
2020,22,326.55643129
2020,23,172.131476477
2020,46,40.2818396893
2020,47,0.0
2020,44,383.202899533
2020,45,317.118072448
2020,28,742.16281444
2020,43,984.344475039
2020,40,199.11482638
2020,41,1453.70693022
2020,1,316.949475928
2020,3,64.3231295177
2020,2,296.982551265
2020,5,2246.50575688
2020,4,826.47507037
2020,7,318.259827809
2020,6,608.705636838
2020,9,84.8399666856
2020,8,222.243167491
2020,11,255.976214666
2020,10,796.383444022
2020,13,273.623240559
2020,12,184.617248796
2020,15,81.0473754934
2020,14,890.553530037
2020,17,1160.91644213
2020,16,218.174178445
2020,19,4417.91925857
2020,18,2619.35375758
2020,31,1976.5681913
2020,30,450.773623738
2020,51,45.0587650571
2020,50,57.3727145308
2020,53,61.6890286958
2020,52,132.428047768
2020,55,216.485118129
2020,48,23.9189155922
2021,54,91.9446462153
2021,42,1098.97296008
2021,49,173.204595746
2021,24,83.3809330059
2021,25,1043.63603789
2021,26,131.308671013
2021,27,205.213670454
2021,20,1334.63799044
2021,21,1684.69772142
2021,22,380.925080847
2021,23,200.577112635
2021,46,43.0248660846
2021,47,0.0
2021,44,449.439438954
2021,45,370.729335863
2021,28,863.968912131
2021,43,1154.54883203
2021,40,231.233362635
2021,41,1705.06671752
2021,1,369.75224757
2021,3,73.7630342812
2021,2,348.175551145
2021,5,2624.96147855
2021,4,966.364429636
2021,7,369.026832899
2021,6,714.917062659
2021,9,96.8804349046
2021,8,259.712107195
2021,11,296.586388875
2021,10,926.794367555
2021,13,317.950436026
2021,12,214.120736956
2021,15,93.0459111912
2021,14,1032.64879597
2021,17,1356.30560915
2021,16,253.806840148
2021,19,5194.52989987
2021,18,3056.82026893
2021,31,2326.91532379
2021,30,525.356648275
2021,51,52.1483664949
2021,50,64.9649793919
2021,53,71.6810685093
2021,52,154.454685547
2021,55,253.327069866
2021,48,24.163322367
2022,54,102.644370323
2022,42,1267.52021088
2022,49,199.542193669
2022,24,94.1409507507
2022,25,1196.24909626
2022,26,147.804399554
2022,27,231.792177671
2022,20,1526.71691501
2022,21,1934.62923718
2022,22,434.24401025
2022,23,228.158967411
2022,46,46.5298944793
2022,47,0.0
2022,44,518.347034009
2022,45,426.429531155
2022,28,978.972271325
2022,43,1331.6738818
2022,40,259.796554619
2022,41,1966.59657844
2022,1,422.017802281
2022,3,82.8411746803
2022,2,398.609822987
2022,5,2981.88606438
2022,4,1102.21747896
2022,7,416.360818539
2022,6,816.861089509
2022,9,108.869112612
2022,8,296.47477912
2022,11,334.790468965
2022,10,1050.70684704
2022,13,361.128903813
2022,12,242.149815385
2022,15,104.807989643
2022,14,1166.86841747
2022,17,1542.4226164
2022,16,286.898566208
2022,19,5970.9398018
2022,18,3475.41770522
2022,31,2678.50666791
2022,30,596.128034215
2022,51,59.3277954905
2022,50,72.546741635
2022,53,82.2637428901
2022,52,177.479867237
2022,55,291.48064273
2022,48,24.405759353
2023,54,112.945125887
2023,42,1434.01086338
2023,49,225.8182752
2023,24,104.500214027
2023,25,1345.46065699
2023,26,163.690044223
2023,27,257.575467123
2023,20,1713.71334003
2023,21,2180.54831895
2023,22,486.272773174
2023,23,255.063613544
2023,46,50.174007878
2023,47,0.0
2023,44,586.409291884
2023,45,481.62580329
2023,28,1088.98884233
2023,43,1506.6484351
2023,40,287.112149938
2023,41,2224.94030207
2023,1,473.002118687
2023,3,91.6289251117
2023,2,447.90311533
2023,5,3324.79709634
2023,4,1233.95313506
2023,7,461.396061357
2023,6,915.837806056
2023,9,120.707564529
2023,8,332.392417214
2023,11,371.473205785
2023,10,1169.3140991
2023,13,402.823017829
2023,12,269.207803497
2023,15,116.339993904
2023,14,1294.68640901
2023,17,1721.76715072
2023,16,318.498283795
2023,19,6733.76044104
2023,18,3878.3505685
2023,31,3025.12147042
2023,30,664.055561816
2023,51,66.3830559511
2023,50,80.0114039285
2023,53,92.8282137418
2023,52,200.404463669
2023,55,329.200728378
2023,48,24.651577801
2024,54,122.925821277
2024,42,1599.13940785
2024,49,252.090185986
2024,24,114.526517358
2024,25,1492.01178629
2024,26,179.070878425
2024,27,282.716436145
2024,20,1896.6304948
2024,21,2423.5407728
2024,22,537.277857959
2024,23,281.422142338
2024,46,53.9457974033
2024,47,0.0
2024,44,653.910672976
2024,45,536.513804113
2024,28,1194.88601063
2024,43,1680.20089408
2024,40,313.411032725
2024,41,2481.17466722
2024,1,522.96424062
2024,3,100.182096617
2024,2,496.318012534
2024,5,3656.12239157
2024,4,1362.3892064
2024,7,504.505869148
2024,6,1012.39405494
2024,9,132.435138493
2024,8,367.642317594
2024,11,406.891773661
2024,10,1283.55333685
2024,13,443.319820218
2024,12,295.468160912
2024,15,127.692108992
2024,14,1417.21240346
2024,17,1895.56455123
2024,16,348.849195025
2024,19,7486.534452
2024,18,4268.41784764
2024,31,3368.14461767
2024,30,729.634424317
2024,51,73.349977736
2024,50,87.3939779856
2024,53,103.39916846
2024,52,223.28942075
2024,55,366.641593815
2024,48,24.9009327293
2025,54,132.629845631
2025,42,1766.49278241
2025,49,279.091096565
2025,24,124.211534876
2025,25,1638.37506663
2025,26,194.106630748
2025,27,307.548577696
2025,20,2077.88663777
2025,21,2668.4801363
2025,22,587.977544098
2025,23,307.689065326
2025,46,58.0451312896
2025,47,0.0
2025,44,722.313857264
2025,45,592.458098811
2025,28,1296.30172685
2025,43,1856.11110078
2025,40,338.43616564
2025,41,2740.86959899
2025,1,572.785133629
2025,3,108.525103804
2025,2,544.45729002
2025,5,3976.84403388
2025,4,1488.45493354
2025,7,545.410803821
2025,6,1107.86899495
2025,9,144.393685569
2025,8,402.589939741
2025,11,441.37115007
2025,10,1393.04880877
2025,13,482.748080411
2025,12,321.072942112
2025,15,139.149943745
2025,14,1533.37986328
2025,17,2064.57287308
2025,16,377.935663503
2025,19,8241.2048722
2025,18,4647.4123625
2025,31,3715.56442929
2025,30,792.858697369
2025,51,80.3380771618
2025,50,94.8110056644
2025,53,114.228678765
2025,52,246.750850782
2025,55,404.616508097
2025,48,25.1540096872
2026,54,142.06523749
2026,42,1933.03076883
2026,49,306.151589498
2026,24,133.59478981
2026,25,1782.55608479
2026,26,208.707936105
2026,27,331.83282595
2026,20,2255.70111419
2026,21,2911.10627029
2026,22,637.802383185
2026,23,333.494771951
2026,46,62.2685168893
2026,47,0.0
2026,44,790.379729255
2026,45,648.262477663
2026,28,1393.98123653
2026,43,2031.17367051
2026,40,362.602528009
