year,benefit,cost
2017,45565097.0276,3795136.68533
2018,51323515.5365,4324898.46084
2019,43167064.2133,3656008.78206
2020,43759039.8259,3729645.64702
2021,45885922.8139,3925874.33372
2022,48820150.168,4204018.32176
2023,51571506.1813,4456489.65511
2024,54355707.1911,4711240.09319
2025,57273628.9667,5001960.49443
2026,60002231.9699,5257694.70061
2027,62656519.9071,5506606.59682
2028,65204220.3912,5746650.63341
2029,67649910.118,5977892.34035
2030,70368860.6219,6254037.03296
2031,72633349.3685,6471864.27754
2032,75177585.9879,6723101.37457
2033,77214082.0707,6921904.91125
2034,79093689.5913,7107288.30932
2035,80275328.3308,7216052.102
2036,81771752.8177,7360755.43499
