year,benefit,cost
2017,42601083.6651,4451918.49463
2018,61485428.4871,5033239.46537
2019,67008168.7391,4222759.91547
2020,76508745.7409,4289139.18818
2021,86383915.5253,4501032.1443
2022,96486095.6088,4811817.09319
2023,106345567.213,5091508.42627
2024,116053937.089,5374370.40386
2025,125749538.749,5696568.10392
2026,135219021.617,5980076.21838
2027,144543860.235,6256463.59673
2028,153676260.617,6521902.17248
2029,162591624.24,6777226.01515
2030,171633282.31,7082162.17443
2031,180236661.9,7322241.8094
2032,188833245.897,7600380.29146
2033,196951935.517,7817938.33571
2034,204743666.914,8020112.58421
2035,211642243.13,8134339.48845
2036,218427034.351,8290768.50627
