year,benefit,cost
2017,9317925.1652,692145.236822
2018,18882793.2685,1410874.38619
2019,51904507.3372,4720369.13946
2020,84064043.9232,7986509.3016
2021,101696670.382,9799340.1596
2022,101591011.948,9826710.5395
2023,101491504.95,9852183.10311
2024,101395579.192,9875742.76717
2025,101280206.188,9904692.23074
2026,101174657.342,9931934.24589
2027,101020550.981,9952178.24421
2028,100878992.059,9971337.69518
2029,100748958.347,9989533.20019
2030,100627907.076,10012388.4064
2031,100507410.284,10032864.4813
2032,100390881.907,10052258.4059
2033,100284921.658,10070621.6842
2034,100187821.866,10088122.9026
2035,100149864.566,10104798.2746
2036,100118554.233,10120233.8412
