year,benefit,cost
2017,20108150.6328,4320562.13277
2018,33144780.5842,4891571.26446
2019,40000524.2047,4109409.68879
2020,47271449.4459,4177240.47994
2021,54403306.9451,4386000.58218
2022,61379952.5217,4690257.3389
2023,68282023.2592,4964504.67204
2024,75055917.8678,5241744.34172
2025,81627537.5359,5557646.58202
2026,88193218.6963,5835599.91483
2027,94669821.4097,6106492.19675
2028,101025099.045,6366851.86467
2029,107239889.506,6617359.28019
2030,113337223.774,6916537.14614
2031,119347786.701,7152166.30303
2032,125205631.307,7424924.50808
2033,130898564.536,7638731.65082
2034,136380187.892,7837547.72923
2035,141473768.776,7950682.01116
2036,146320659.355,8104765.89201
