year,benefit,cost
2017,8221577.39471,553716.189457
2018,16670083.3957,1128699.50895
2019,46633902.0682,3776295.31157
2020,75862984.6294,6389207.44128
2021,91915916.3713,7839472.12768
2022,91864274.0065,7861368.4316
2023,91815194.3436,7881746.48249
2024,91766624.2549,7900594.21374
2025,91708982.9344,7923753.78459
2026,91657121.3583,7945547.39671
2027,91557778.3707,7961742.59537
2028,91467174.6907,7977070.15614
2029,91384640.2368,7991626.56015
2030,91314887.417,8009910.72514
2031,91242697.2425,8026291.58501
2032,91172076.0594,8041806.72471
2033,91108697.286,8056497.34734
2034,91051400.0415,8070498.32206
2035,91040418.5766,8083838.61971
2036,91033273.8797,8096187.07299
