year,benefit,cost
2017,20714525.0148,4320562.13277
2018,34437795.6733,4891571.26446
2019,41312307.2499,4109409.68879
2020,48887119.844,4177240.47994
2021,56279404.207,4386000.58218
2022,63705710.3516,4690257.3389
2023,70927980.5731,4964504.67204
2024,78016957.1606,5241744.34172
2025,85207547.0827,5557646.58202
2026,92155876.7094,5835599.91483
2027,99006443.0223,6106492.19675
2028,105734385.708,6366851.86467
2029,112316763.207,6617359.28019
2030,119054711.55,6916537.14614
2031,125450862.718,7152166.30303
2032,131821010.536,7424924.50808
2033,137896083.049,7638731.65082
2034,143753465.415,7837547.72923
2035,148988623.234,7950682.01116
2036,154099543.916,8104765.89201
