year,benefit,cost
2017,8192033.19,553716.189457
2018,16607208.1101,1128699.50895
2019,46401290.3988,3776295.31157
2020,75403757.6436,6389207.44128
2021,91277069.1214,7839472.12768
2022,91137360.0621,7861368.4316
2023,91006454.3585,7881746.48249
2024,90881712.0465,7900594.21374
2025,90730860.3345,7923753.78459
2026,90592066.2035,7945547.39671
2027,90414109.0176,7961742.59537
2028,90250092.0496,7977070.15614
2029,90098833.6026,7991626.56015
2030,89950842.1142,8009910.72514
2031,89806372.9133,8026291.58501
2032,89668421.7578,8041806.72471
2033,89542277.8752,8056497.34734
2034,89426013.4238,8070498.32206
2035,89369862.4547,8083838.61971
2036,89321862.7041,8096187.07299
